CUSEC_origen;centro_salud_id;CUSEC_servicio;distancia
0500101001;26;0501906013;27565,760
0500501001;5;0501904005;26201,319
0500501001;288;0501906002;26248,369
0500501001;26;0501906013;24920,614
0500701001;18;3704602001;29082,239
0500801001;13;4708501006;28316,601
0501301001;286;0501402002;5715,407
0501402001;286;0501402002;1684,756
0501402002;286;0501402002;0,000
0501403001;286;0501402002;6649,322
0501601001;13;4708501006;27356,916
0501602001;13;4708501006;28637,291
0501602003;13;4708501006;29854,371
0501701001;5;0501904005;19133,214
0501701001;288;0501906002;19187,368
0501701001;26;0501906013;18151,169
0501901001;5;0501904005;1051,510
0501901001;288;0501906002;1515,108
0501901001;26;0501906013;6246,262
0501901002;5;0501904005;6985,786
0501901002;288;0501906002;7201,117
0501901002;26;0501906013;8469,511
0501902001;5;0501904005;705,201
0501902001;288;0501906002;1018,724
0501902001;26;0501906013;6029,220
0501902002;5;0501904005;691,343
0501902002;288;0501906002;467,868
0501902002;26;0501906013;5783,294
0501903001;5;0501904005;1245,216
0501903001;288;0501906002;1394,132
0501903001;26;0501906013;5842,884
0501903002;288;0501906002;4677,679
0501903002;26;0501906013;3580,356
0501903002;5;0501904005;5222,474
0501904001;5;0501904005;6406,162
0501904001;288;0501906002;7392,194
0501904001;26;0501906013;12880,602
0501904002;5;0501904005;665,040
0501904002;288;0501906002;1416,477
0501904002;26;0501906013;6513,214
0501904003;5;0501904005;775,165
0501904003;288;0501906002;1668,945
0501904003;26;0501906013;6816,138
0501904004;5;0501904005;503,734
0501904004;288;0501906002;1476,161
0501904004;26;0501906013;6765,429
0501904005;5;0501904005;0,000
0501904005;288;0501906002;1040,914
0501904005;26;0501906013;6474,463
0501904006;5;0501904005;312,531
0501904006;288;0501906002;1119,105
0501904006;26;0501906013;6408,055
0501904008;5;0501904005;570,661
0501904008;288;0501906002;1496,815
0501904008;26;0501906013;6993,105
0501904009;5;0501904005;714,563
0501904009;288;0501906002;1667,768
0501904009;26;0501906013;6890,227
0501904010;5;0501904005;314,960
0501904010;288;0501906002;1277,811
0501904010;26;0501906013;6757,219
0501904011;5;0501904005;1187,256
0501904011;288;0501906002;1347,752
0501904011;26;0501906013;6663,764
0501904012;5;0501904005;3720,508
0501904012;288;0501906002;3901,358
0501904012;26;0501906013;8595,212
0501904013;5;0501904005;5792,837
0501904013;288;0501906002;6644,704
0501904013;26;0501906013;12116,278
0501904014;5;0501904005;4982,516
0501904014;288;0501906002;5665,214
0501904014;26;0501906013;10979,734
0501905001;5;0501904005;323,579
0501905001;288;0501906002;907,407
0501905001;26;0501906013;6220,165
0501905002;5;0501904005;451,261
0501905002;288;0501906002;666,448
0501905002;26;0501906013;6026,117
0501905003;5;0501904005;722,519
0501905003;288;0501906002;324,393
0501905003;26;0501906013;5821,891
0501905004;288;0501906002;625,885
0501905004;5;0501904005;1192,931
0501905004;26;0501906013;5807,822
0501905005;5;0501904005;615,404
0501905005;288;0501906002;664,500
0501905005;26;0501906013;6161,837
0501905006;5;0501904005;3124,881
0501905006;288;0501906002;2836,559
0501905006;26;0501906013;6908,598
0501906001;5;0501904005;893,466
0501906001;288;0501906002;934,871
0501906001;26;0501906013;5788,956
0501906002;288;0501906002;0,000
0501906002;5;0501904005;1040,914
0501906002;26;0501906013;5507,165
0501906003;5;0501904005;4437,674
0501906003;288;0501906002;3698,628
0501906003;26;0501906013;5712,783
0501906004;288;0501906002;789,696
0501906004;5;0501904005;1010,357
0501906004;26;0501906013;5578,168
0501906005;288;0501906002;956,738
0501906005;5;0501904005;1213,433
0501906005;26;0501906013;5452,357
0501906008;5;0501904005;1775,092
0501906008;288;0501906002;1174,895
0501906008;26;0501906013;4838,026
0501906009;5;0501904005;844,321
0501906009;288;0501906002;591,355
0501906009;26;0501906013;5661,846
0501906010;288;0501906002;545,386
0501906010;5;0501904005;1174,276
0501906010;26;0501906013;5313,331
0501906011;5;0501904005;13510,909
0501906011;288;0501906002;12620,525
0501906011;26;0501906013;10576,887
0501906012;5;0501904005;2330,001
0501906012;288;0501906002;1501,651
0501906012;26;0501906013;4186,384
0501906013;26;0501906013;0,000
0501906013;5;0501904005;6474,463
0501906013;288;0501906002;5507,165
0501906014;288;0501906002;808,186
0501906014;5;0501904005;1848,980
0501906014;26;0501906013;4769,187
0502101001;18;3704602001;20374,752
0502101002;18;3704602001;22270,359
0502201001;5;0501904005;19592,233
0502201001;288;0501906002;19862,386
0502201001;26;0501906013;23785,351
0502201002;5;0501904005;28648,160
0502201002;288;0501906002;29003,069
0502301001;13;4708501006;25162,002
0502401001;18;3704602001;11647,981
0502601001;13;4708501006;27214,145
0502701001;5;0501904005;17994,480
0502701001;288;0501906002;17725,454
0502701001;26;0501906013;15071,344
0503001001;26;0501906013;4867,060
0503001001;5;0501904005;9984,357
0503001001;288;0501906002;8946,715
0503401001;13;4708501006;16653,105
0503501001;5;0501904005;25369,671
0503501001;288;0501906002;24631,904
0503501001;26;0501906013;19639,680
0503601001;5;0501904005;29851,227
0503601001;288;0501906002;29356,128
0503601001;26;0501906013;25307,042
0503701001;286;0501402002;28644,311
0503901001;5;0501904005;23219,320
0503901001;288;0501906002;23626,488
0503901001;26;0501906013;24315,613
0504001001;5;0501904005;15359,565
0504001001;288;0501906002;15672,190
0504001001;26;0501906013;16217,860
0504101001;5;0501904005;29864,871
0504501001;5;0501904005;29705,545
0504501001;288;0501906002;29405,409
0504501001;26;0501906013;26258,076
0504701001;286;0501402002;15036,786
0504703001;286;0501402002;19979,737
0504703002;286;0501402002;19033,970
0504703003;286;0501402002;12486,844
0504901001;5;0501904005;10262,088
0504901001;288;0501906002;9990,275
0504901001;26;0501906013;8102,930
0505101001;18;3704602001;18085,139
0505301001;5;0501904005;10912,617
0505301001;288;0501906002;11662,387
0505301001;26;0501906013;14804,424
0505401001;286;0501402002;27696,474
0505601001;13;4708501006;22576,090
0505701001;5;0501904005;28909,568
0505701001;288;0501906002;28841,086
0505702001;5;0501904005;28970,422
0505702001;288;0501906002;28891,314
0505801001;286;0501402002;25778,083
0505901001;5;0501904005;25646,828
0505901001;288;0501906002;26334,983
0505901001;26;0501906013;28575,894
0506101001;5;0501904005;5505,858
0506101001;288;0501906002;6421,502
0506101001;26;0501906013;10830,925
0506601001;286;0501402002;9122,684
0506701001;5;0501904005;23103,733
0506701001;288;0501906002;23687,530
0506701001;26;0501906013;25372,019
0507001001;13;4708501006;24012,422
0507601001;5;0501904005;5959,926
0507601001;288;0501906002;6999,056
0507601001;26;0501906013;12173,322
0507801001;13;4708501006;28651,594
0507901001;5;0501904005;19433,048
0507901001;288;0501906002;20056,813
0507901001;26;0501906013;22081,964
0508101001;286;0501402002;25516,292
0508201001;286;0501402002;18984,028
0508301001;5;0501904005;10055,084
0508301001;288;0501906002;11088,115
0508301001;26;0501906013;16435,985
0508401001;18;3704602001;15274,234
0508501001;18;3704602001;19025,516
0508701001;5;0501904005;20066,139
0508701001;288;0501906002;19599,900
0508701001;26;0501906013;15871,939
0508801001;5;0501904005;26463,790
0508801001;288;0501906002;26918,831
0508801001;26;0501906013;27787,663
0508901001;286;0501402002;5144,877
0509001001;26;0501906013;29963,298
0509201001;5;0501904005;22965,400
0509201001;288;0501906002;22442,365
0509201001;26;0501906013;18373,073
0509301001;5;0501904005;14664,886
0509301001;288;0501906002;14256,241
0509301001;26;0501906013;15495,925
0509601001;5;0501904005;27539,087
0509601001;288;0501906002;28576,672
0509701001;18;3704602001;25941,183
0509901001;13;4708501006;28566,511
0510001001;286;0501402002;5589,558
0510101001;286;0501402002;21515,315
0510201002;5;0501904005;25840,299
0510201002;288;0501906002;25512,882
0510201002;26;0501906013;26691,041
0510401001;286;0501402002;18971,535
0510501001;286;0501402002;13601,533
0510601001;286;0501402002;18465,808
0510801001;18;3704602001;17588,705
0511001001;286;0501402002;12903,975
0511201001;18;3704602001;20005,366
0511301001;18;3704602001;25679,435
0511401001;13;4708501006;20664,466
0511402001;13;4708501006;24556,027
0511501001;5;0501904005;21791,516
0511501001;288;0501906002;20826,018
0511501001;26;0501906013;15320,293
0512001001;5;0501904005;13239,372
0512001001;288;0501906002;13655,086
0512001001;26;0501906013;14897,451
0512101001;5;0501904005;8288,339
0512101001;288;0501906002;8821,143
0512101001;26;0501906013;11191,478
0512301001;5;0501904005;13254,536
0512301001;288;0501906002;12223,291
0512301001;26;0501906013;8077,038
0512401001;18;3704602001;15955,872
0512701001;286;0501402002;22452,046
0512801001;5;0501904005;12913,802
0512801001;288;0501906002;12242,686
0512801001;26;0501906013;7826,589
0513001001;5;0501904005;15126,837
0513001001;288;0501906002;16161,264
0513001001;26;0501906013;21479,511
0513201001;286;0501402002;6667,897
0513301001;26;0501906013;14138,616
0513301001;5;0501904005;15644,551
0513301001;288;0501906002;15580,108
0513401001;13;4708501006;18723,620
0513501001;5;0501904005;28387,573
0513501001;288;0501906002;29333,522
0513601001;5;0501904005;29764,456
0513801001;5;0501904005;18803,072
0513801001;288;0501906002;19789,986
0513801001;26;0501906013;24183,679
0513901001;5;0501904005;27888,843
0513901001;288;0501906002;28117,591
0513901001;26;0501906013;27710,387
0514001001;5;0501904005;29488,777
0514001001;288;0501906002;29467,139
0514001001;26;0501906013;27708,980
0514101001;5;0501904005;10586,512
0514101001;288;0501906002;11508,380
0514101001;26;0501906013;15626,369
0514501001;5;0501904005;22653,560
0514501001;288;0501906002;23414,529
0514501001;26;0501906013;26163,120
0514801001;5;0501904005;28431,788
0514801001;288;0501906002;29454,537
0514901001;5;0501904005;29818,443
