Dirección;Localidad;Teléfono;email;Entidad_Titular;Sector;servicio_id;cod_catalogo;des_catalogo;CUSEC;Seccion_id
AVENIDA JUAN PABLO II 20;AVILA;920 357102;;DIPUTACIÓN PROVINCIAL DE ÁVILA;INCLUSIÓN SOCIAL;23;10.2;Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo;0501905004;44
PLAZA SAN FRANCISCO (DE) 3;AVILA;920 224848;castillayleon@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;24;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;0501906012;56
PLAZA MERCADO CHICO (DEL) 1;AVILA;920 350000;;AYUNTAMIENTO DE ÁVILA;POBLACIÓN GENERAL;25;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;0501901002;23
CALLE PRINCIPE DON JUAN 8;AVILA;920 352340;caritas.cdavila@caritas.es;CÁRITAS DIOCESANA DE ÁVILA;INCLUSIÓN SOCIAL;26;1.10;Servicio de información especializada sobre inclusión social;0501905004;44
CALLE SAN JUAN DE LA CRUZ 8;AVILA;920 256360;eherrero.cdavila@caritas.es;CÁRITAS DIOCESANA DE ÁVILA;TOXICOMANÍAS Y ADICCIONES;31;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;0501901002;23
CALLE SAN JUAN DE LA CRUZ 8;AVILA;920 221847;;CÁRITAS DIOCESANA DE ÁVILA;INCLUSIÓN SOCIAL;52;1.10;Servicio de información especializada sobre inclusión social;0501901002;23
CALLE SAN ESTEBAN 8 BAJO;ARANDA DE DUERO;947 546080;direccion@saludmentalaranda.org;ASOCIACION SALUD MENTAL ARANDA;PERSONAS CON DISCAPACIDAD;61;24.11;Servicio de apoyo técnico a personas en situación de dependencia y/o discapacidad.;0901803005;339
CALLE MANUEL ALTOLAGUIRRE S/N;BURGOS;947 244511;miguelsantos@fundacionlesmes.org;FUNDACIÓN LESMES;(FAMILIA);65;12.10;Servicio de apoyo familiar para la inclusión social;0905905035;437
CALLE CASTROVERDE 22;SALAMANCA;923 190150;direccion@saludmentalsamalamca.org;SALUD MENTAL SALAMANCA-AFEMC;PERSONAS CON DISCAPACIDAD;75;27.4;Servicio de apoyo para la integración sociolaboral de las personas con discapacidad;3727403009;1897
CALLE CRUZ ROJA 1;SALAMANCA;923 221032;salamanca@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;76;1.10;Servicio de información especializada sobre inclusión social;3727405008;1938
CALLE TRANSPORTISTAS 29;SALAMANCA;923 188478;asociaciontas@tas.org.es;ASOCIACIÓN TAS;INCLUSIÓN SOCIAL;77;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3727404009;1916
CAMINO DE CARBAJOSA, 9;SALAMANCA;923 200388;rosariocentroavemaria@gmial.com;INSTITUTO SECULAR CRUZADA EVANGÉLICA;MUJER;78;10.4;Servicio de apoyo a mujeres embarazadas o madres en situación de especial vulnerabilidad;3729401010;3533
CALLE CRUZ ROJA 1;SALAMANCA;923 221032;salamanca@cuzroja.es;CRUZ ROJA ESPAÑOLA;TOXICOMANÍAS Y ADICCIONES;80;26.21;Servicio de asistencia sociosanitaria ambulatoria a personas con drogodependencia;3727405008;1938
CALLE SAN NARCISO 13;SALAMANCA;923 269698;caritas@caritasalamanca.org;CARITAS DIOCESANA DE SALAMANCA;INCLUSIÓN SOCIAL;81;26.16;Servicio de apoyo para la inclusión social;3727403009;1897
CALLE CASTROVERDE ,22;SALAMANCA;923 190150;gestion@saludmentalsalamanca.org;SALUD MENTAL SALAMANCA-AFEMC;PERSONAS CON DISCAPACIDAD;83;9.2;Servicio de promoción de hábitos y estilos de vida saludables;3727403009;1897
CALLE CASTROVERDE 22;SALAMANCA;923 190150;gestion@saludmentalsalamanca.org;SALUD MENTAL SALAMANCA-AFEMC;PERSONAS CON DISCAPACIDAD;84;9.1;Servicio de prevención de la situación de dependencia;3727403009;1897
CALLE PLATEROS 19, bajo;SALAMANCA;923 121354;;ASECAL;INFANCIA (Y JUVENTUD);94;26.3;Servicio de apoyo a jóvenes para la transición a la vida adulta;3727404009;1916
CALLE GRAN VIA 53-55;SALAMANCA;923 216101;;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;POBLACIÓN GENERAL;95;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;3727402001;1869
CALLE DON RICARDO MARCOS 5;SANTA MARTA DE TORMES;923 201297;info@upmujerromani.org;ASOCIACIÓN UNIÓN Y PROGRESO MUJER ROMANÍ;INCLUSIÓN SOCIAL;101;26.16;Servicio de apoyo para la inclusión social;3729401010;3533
CALLE CAÑADA MARI GARCIA 9;ESPINAR (EL);913 597906;mjesus@cesal.org;CESAL;INCLUSIÓN SOCIAL;116;29.10;Servicio de alojamiento para personas sin hogar;4007603001;2180
CALLE SAN FRANCISCO 58;SEGOVIA;983 307083;;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;126;1.10;Servicio de información especializada sobre inclusión social;4019401004;2292
CALLE ALTOS DE LA PIEDAD S/N;SEGOVIA;921 431608;segovia@asociacionamanecer.org;ASOCIACIÓN AMANECER-SALUD MENTAL SEGOVIA;MUJER;128;29.5;Serv. atención integral mujeres víctimas violencia género discapacidad enfermedad mental grave;4019404001;2305
CALLE SANTO DOMINGO DE SILOS 1;SORIA;975 234650;tirigoyen@cruzroja.es;CRUZ ROJA ESPAÑOLA;VOLUNTARIADO;136;1.13;Servicio de información especializada sobre voluntariado;4217301008;2530
CALLE CABALLEROS 17;SORIA;975 101000;ssociales@dipsoria.es;DIPUTACIÓN PROVINCIAL DE SORIA;(FAMILIA);137;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;4217303003;2547
CALLE SAN JUAN 5;SORIA;975 212455;direc.cdosoria@caritas.es;CÁRITAS DIOCESANA DE OSMA-SORIA;INCLUSIÓN SOCIAL;138;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;4217301001;2523
CALLE MANUEL VICENTE TUTOR 6;SORIA;983 218453;notificaciones@foremcyl.es;FUNDACION FORMACION Y EMPLEO DE CASTILLA Y LEON (FOREMCYL);INCLUSIÓN SOCIAL;139;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4217301008;2530
CARRETERA LOGROÑO 8 HOSPITAL VIRGEN DEL MIRÓN - 4ª PLANTA;SORIA;644 370204;asoem24@gmail.com;ASOCIACIÓN SORIANA DE ESCLEROSIS MÚLTIPLE - ASOEM;POBLACIÓN GENERAL;140;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;4217302012;2542
CALLE CARDENAS Nº 1;GERIA;688 941858;tesoreria@hpe-org.com;HIPERTENSION PULMONAR ESPAÑA ORGANIZACION DE PACIENTES;POBLACIÓN GENERAL;152;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;4721601001;3131
CALLE ALCALDE SAINZ DE BARANDA, 61 1º C;MADRID;914 097828;info@atymediacion.es;FUNDACIÓN ATYME ATENCIÓN Y MEDIACIÓN PARA EL CAMBIO;(FAMILIA);191;12.5;Servicio de mediación gratuíta en situaciones de conflicto familiar;0000000nan;
CALLE TOLEDO  46  1º;MADRID;722 307252;direccion@dravetfoundation.eu;FUNDACIÓN PARA LA INVESTIGACIÓN DEL SÍNDROME DE DRAVET;PERSONAS CON DISCAPACIDAD;192;11.6;Serv. apoyo familiar-promoción autonomía personal-situaciones de dependencia y/o discapacidad;0000000nan;
