Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar
Avila;05001;2021;52,000;41,800;90,200;9,800;2,100
Avila;05001;2022;50,000;38,500;86,300;13,700;2,200
Avila;05001;2023;49,800;36,100;85,100;14,900;2,200
Avila;05002;2021;44,763;41,558;91,748;8,252;2,200
Avila;05002;2022;44,579;40,098;90,946;9,054;2,200
Avila;05002;2023;44,924;39,725;89,959;10,041;2,200
Avila;05005;2021;53,400;48,500;99,400;0,600;1,800
Avila;05005;2022;53,600;46,900;99,400;0,600;1,800
Avila;05005;2023;53,600;48,500;98,900;1,100;1,700
Avila;05007;2021;59,100;36,200;99,000;1,000;2,200
Avila;05007;2022;61,200;37,500;99,000;1,000;2,100
Avila;05007;2023;60,500;38,800;99,000;1,000;2,100
Avila;05008;2021;51,900;30,200;99,100;0,900;2,500
Avila;05008;2022;52,200;28,900;99,100;0,900;2,500
Avila;05008;2023;52,000;28,800;99,500;0,500;2,500
Avila;05010;2021;56,500;48,700;98,700;1,300;2,000
Avila;05010;2022;57,000;47,300;97,300;2,700;2,000
Avila;05010;2023;57,300;46,500;97,200;2,800;2,000
Avila;05012;2021;54,800;43,600;98,500;1,500;2,200
Avila;05012;2022;53,300;39,700;99,300;0,700;2,300
Avila;05012;2023;54,200;37,900;100,000;0,000;2,300
Avila;05013;2021;54,700;41,200;93,500;6,500;2,100
Avila;05013;2022;54,500;41,200;91,300;8,700;2,000
Avila;05013;2023;53,800;39,500;88,800;11,200;2,100
Avila;05014;2021;52,191;41,104;95,776;4,224;2,049
Avila;05014;2022;52,456;41,223;95,741;4,259;2,001
Avila;05014;2023;48,527;36,485;94,135;5,865;2,215
Avila;05015;2021;59,800;60,000;100,000;0,000;1,700
Avila;05015;2022;58,300;62,200;98,400;1,600;1,600
Avila;05015;2023;58,900;60,000;98,300;1,700;1,700
Avila;05016;2021;46,876;34,544;96,492;3,508;2,401
Avila;05016;2022;44,900;28,889;95,741;4,259;2,502
Avila;05016;2023;45,142;29,681;95,642;4,358;2,451
Avila;05017;2021;59,900;43,900;98,800;1,200;1,900
