Provincia;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar
Avila;2021;52,629;42,611;95,082;4,918;2,091
Avila;2022;52,431;42,398;93,945;6,055;2,091
Avila;2023;52,661;42,877;93,584;6,416;2,079
Burgos;2021;50,117;38,829;91,960;8,040;2,218
Burgos;2022;50,103;39,282;91,879;8,121;2,217
Burgos;2023;50,207;39,673;91,228;8,772;2,200
Leon;2021;53,569;40,208;95,979;4,021;2,121
Leon;2022;53,824;40,987;95,804;4,196;2,096
Leon;2023;53,723;41,262;95,251;4,749;2,092
Palencia;2021;51,484;37,884;94,920;5,080;2,207
Palencia;2022;51,523;38,505;94,218;5,782;2,187
Palencia;2023;51,684;38,913;93,602;6,398;2,167
Salamanca;2021;52,996;40,388;95,737;4,263;2,117
Salamanca;2022;53,251;41,031;95,431;4,569;2,099
Salamanca;2023;53,205;41,271;95,162;4,838;2,085
Segovia;2021;48,879;37,581;88,206;11,794;2,284
Segovia;2022;49,180;37,999;87,261;12,739;2,276
Segovia;2023;49,326;38,278;86,724;13,276;2,265
Soria;2021;52,670;43,382;92,066;7,934;2,149
Soria;2022;52,659;44,006;91,644;8,356;2,129
Soria;2023;52,617;44,120;90,943;9,057;2,119
Valladolid;2021;50,453;34,020;93,580;6,420;2,263
Valladolid;2022;50,655;34,458;93,264;6,736;2,247
Valladolid;2023;50,834;34,697;92,660;7,340;2,237
Zamora;2021;54,282;40,381;96,403;3,597;2,101
Zamora;2022;54,398;40,873;95,816;4,184;2,074
Zamora;2023;54,604;41,438;95,226;4,774;2,066
