Provincia;CMuni;CUSEC;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Tamaño_medio_del_hogar;Porcentaje_de_población_extranjera
Avila;05001;0500101001;2021;52,000;41,800;90,200;2,100;9,800
Avila;05001;0500101001;2022;50,000;38,500;86,300;2,200;13,700
Avila;05001;0500101001;2023;49,800;36,100;85,100;2,200;14,900
Avila;05002;0500201001;2021;44,100;41,700;92,600;2,200;7,400
Avila;05002;0500201001;2022;44,200;41,900;91,800;2,200;8,200
Avila;05002;0500201001;2023;44,600;41,300;90,700;2,200;9,300
Avila;05002;0500201002;2021;45,500;41,400;90,800;2,200;9,200
Avila;05002;0500201002;2022;45,000;38,100;90,000;2,200;10,000
Avila;05002;0500201002;2023;45,300;37,900;89,100;2,200;10,900
Avila;05005;0500501001;2021;53,400;48,500;99,400;1,800;0,600
Avila;05005;0500501001;2022;53,600;46,900;99,400;1,800;0,600
Avila;05005;0500501001;2023;53,600;48,500;98,900;1,700;1,100
Avila;05007;0500701001;2021;59,100;36,200;99,000;2,200;1,000
Avila;05007;0500701001;2022;61,200;37,500;99,000;2,100;1,000
Avila;05007;0500701001;2023;60,500;38,800;99,000;2,100;1,000
Avila;05008;0500801001;2021;51,900;30,200;99,100;2,500;0,900
Avila;05008;0500801001;2022;52,200;28,900;99,100;2,500;0,900
Avila;05008;0500801001;2023;52,000;28,800;99,500;2,500;0,500
Avila;05010;0501001001;2021;56,500;48,700;98,700;2,000;1,300
Avila;05010;0501001001;2022;57,000;47,300;97,300;2,000;2,700
Avila;05010;0501001001;2023;57,300;46,500;97,200;2,000;2,800
Avila;05012;0501201001;2021;54,800;43,600;98,500;2,200;1,500
Avila;05012;0501201001;2022;53,300;39,700;99,300;2,300;0,700
Avila;05012;0501201001;2023;54,200;37,900;100,000;2,300;0,000
Avila;05013;0501301001;2021;54,700;41,200;93,500;2,100;6,500
Avila;05013;0501301001;2022;54,500;41,200;91,300;2,000;8,700
Avila;05013;0501301001;2023;53,800;39,500;88,800;2,100;11,200
Avila;05014;0501401001;2021;47,000;35,100;93,900;2,200;6,100
Avila;05014;0501401001;2022;47,400;36,900;92,800;2,200;7,200
Avila;05014;0501401001;2023;48,000;39,000;92,800;2,200;7,200
Avila;05014;0501401002;2021;53,400;36,700;96,500;2,100;3,500
Avila;05014;0501401002;2022;54,500;37,900;95,800;2,000;4,200
Avila;05014;0501402001;2021;51,100;45,300;95,100;2,000;4,900
Avila;05014;0501402001;2022;50,700;44,200;95,700;2,000;4,300
Avila;05014;0501402001;2023;51,800;42,100;95,300;2,000;4,700
Avila;05014;0501402002;2021;46,700;32,800;96,000;2,300;4,000
Avila;05014;0501402002;2022;46,900;33,500;95,400;2,300;4,600
Avila;05014;0501402002;2023;47,300;33,700;94,200;2,300;5,800
Avila;05014;0501403001;2021;47,700;35,000;96,600;2,300;3,400
Avila;05014;0501403001;2022;48,100;34,600;95,600;2,300;4,400
Avila;05014;0501403001;2023;48,300;32,100;94,900;2,300;5,100
Avila;05015;0501501001;2021;59,800;60,000;100,000;1,700;0,000
Avila;05015;0501501001;2022;58,300;62,200;98,400;1,600;1,600
Avila;05015;0501501001;2023;58,900;60,000;98,300;1,700;1,700
Avila;05016;0501601001;2021;46,900;34,600;96,500;2,400;3,500
Avila;05016;0501601001;2022;47,100;36,200;96,100;2,400;3,900
Avila;05016;0501601001;2023;47,500;36,600;95,800;2,400;4,200
Avila;05016;0501602001;2021;43,700;34,000;94,200;2,400;5,800
Avila;05016;0501602001;2022;44,000;33,700;93,300;2,300;6,700
Avila;05016;0501602001;2023;43,500;32,500;91,100;2,400;8,900
Avila;05016;0501602002;2021;47,300;26,700;94,600;2,400;5,400
Avila;05016;0501602002;2022;48,000;29,300;94,800;2,400;5,200
Avila;05016;0501602002;2023;48,000;28,600;93,300;2,400;6,700
Avila;05016;0501602003;2021;44,200;24,900;96,300;2,500;3,700
Avila;05016;0501602003;2022;44,900;24,500;96,200;2,500;3,800
Avila;05016;0501602003;2023;45,500;26,500;95,200;2,500;4,800
Avila;05016;0501602004;2021;42,400;23,000;95,200;2,600;4,800
Avila;05016;0501602004;2022;42,800;21,900;95,400;2,600;4,600
Avila;05016;0501602004;2023;42,900;23,100;95,500;2,500;4,500
Avila;05016;0501602005;2021;40,900;23,400;96,200;2,600;3,800
Avila;05016;0501602005;2022;41,400;25,400;97,100;2,600;2,900
Avila;05016;0501602005;2023;42,200;24,900;97,100;2,500;2,900
Avila;05017;0501701001;2021;59,900;43,900;98,800;1,900;1,200
Avila;05017;0501701001;2022;60,000;42,100;98,700;2,000;1,300
Avila;05017;0501701001;2023;60,400;53,900;98,600;1,900;1,400
Avila;05018;0501801001;2021;58,000;72,200;100,000;1,500;0,000
Avila;05018;0501801001;2022;55,700;76,500;100,000;1,400;0,000
Avila;05018;0501801001;2023;55,300;75,000;100,000;1,400;0,000
Avila;05019;0501901001;2021;48,000;43,600;89,500;2,100;10,500
Avila;05019;0501901001;2022;48,000;42,900;87,500;2,100;12,500
Avila;05019;0501901001;2023;48,100;41,500;86,200;2,100;13,800
Avila;05019;0501901002;2021;48,000;42,300;93,300;2,100;6,700
Avila;05019;0501901002;2022;47,900;40,400;91,000;2,100;9,000
Avila;05019;0501901002;2023;47,400;42,800;88,600;2,100;11,400
Avila;05019;0501902001;2021;49,400;45,100;93,700;2,000;6,300
Avila;05019;0501902001;2022;48,800;45,900;91,600;2,000;8,400
Avila;05019;0501902001;2023;48,700;47,200;91,600;2,000;8,400
Avila;05019;0501902002;2021;52,400;43,100;90,200;2,000;9,800
Avila;05019;0501902002;2022;52,100;41,600;88,000;2,100;12,000
Avila;05019;0501902002;2023;52,000;43,400;86,300;2,000;13,700
Avila;05019;0501903001;2021;49,400;26,400;97,000;2,400;3,000
Avila;05019;0501903001;2022;49,800;25,300;94,700;2,400;5,300
Avila;05019;0501903001;2023;50,000;25,600;93,800;2,400;6,200
Avila;05019;0501903002;2021;45,300;20,800;96,400;2,600;3,600
Avila;05019;0501903002;2022;45,600;20,000;96,500;2,600;3,500
Avila;05019;0501903002;2023;46,400;20,300;96,200;2,600;3,800
Avila;05019;0501904001;2021;43,900;38,900;95,800;2,200;4,200
Avila;05019;0501904001;2022;43,800;38,200;93,500;2,200;6,500
Avila;05019;0501904001;2023;43,800;38,700;91,900;2,200;8,100
Avila;05019;0501904002;2021;47,200;34,800;91,500;2,300;8,500
Avila;05019;0501904002;2022;47,100;34,100;89,300;2,300;10,700
Avila;05019;0501904002;2023;47,600;36,600;88,700;2,200;11,300
Avila;05019;0501904003;2021;48,600;31,200;92,600;2,300;7,400
Avila;05019;0501904003;2022;49,100;30,600;91,300;2,300;8,700
Avila;05019;0501904003;2023;49,900;31,300;91,600;2,300;8,400
Avila;05019;0501904004;2021;48,900;36,700;87,100;2,200;12,900
Avila;05019;0501904004;2022;48,600;35,200;83,500;2,300;16,500
Avila;05019;0501904004;2023;49,000;36,300;83,700;2,200;16,300
Avila;05019;0501904005;2021;43,900;33,300;89,900;2,400;10,100
Avila;05019;0501904005;2022;43,200;31,300;87,500;2,500;12,500
Avila;05019;0501904005;2023;42,200;31,800;85,000;2,600;15,000
Avila;05019;0501904006;2021;48,200;38,500;87,500;2,100;12,500
Avila;05019;0501904006;2022;47,900;37,100;84,500;2,200;15,500
Avila;05019;0501904006;2023;47,800;39,400;82,800;2,200;17,200
Avila;05019;0501904008;2021;41,100;29,000;94,600;2,500;5,400
Avila;05019;0501904008;2022;41,600;29,800;93,600;2,500;6,400
Avila;05019;0501904008;2023;42,000;32,400;94,100;2,400;5,900
Avila;05019;0501904009;2021;47,100;26,700;92,500;2,400;7,500
Avila;05019;0501904009;2022;47,800;29,100;91,500;2,400;8,500
Avila;05019;0501904009;2023;48,600;28,400;91,000;2,400;9,000
Avila;05019;0501904010;2021;44,400;32,300;96,100;2,400;3,900
Avila;05019;0501904010;2022;45,700;31,300;95,200;2,400;4,800
Avila;05019;0501904010;2023;47,100;32,000;96,200;2,300;3,800
Avila;05019;0501904011;2021;38,400;31,800;94,500;2,400;5,500
Avila;05019;0501904011;2022;39,000;30,800;94,200;2,400;5,800
Avila;05019;0501904011;2023;39,500;32,700;94,300;2,400;5,700
Avila;05019;0501904012;2021;31,900;32,400;95,300;2,500;4,700
Avila;05019;0501904012;2022;32,600;31,300;94,600;2,500;5,400
Avila;05019;0501904012;2023;33,200;32,400;94,400;2,500;5,600
Avila;05019;0501904013;2021;36,900;30,500;98,500;2,400;1,500
Avila;05019;0501904013;2022;38,400;23,100;98,100;2,600;1,900
Avila;05019;0501904013;2023;38,900;26,600;97,400;2,500;2,600
Avila;05019;0501904014;2021;38,300;36,100;92,100;2,300;7,900
Avila;05019;0501904014;2022;38,200;35,100;89,300;2,300;10,700
Avila;05019;0501904014;2023;38,500;35,700;89,100;2,300;10,900
Avila;05019;0501905001;2021;49,800;37,700;90,400;2,100;9,600
Avila;05019;0501905001;2022;49,600;39,000;87,100;2,100;12,900
Avila;05019;0501905001;2023;48,800;38,800;86,000;2,100;14,000
Avila;05019;0501905002;2021;48,200;39,200;91,900;2,200;8,100
Avila;05019;0501905002;2022;48,400;38,600;88,500;2,200;11,500
Avila;05019;0501905002;2023;48,100;40,200;87,500;2,200;12,500
Avila;05019;0501905003;2021;47,400;40,200;87,600;2,200;12,400
Avila;05019;0501905003;2022;46,800;40,200;85,800;2,200;14,200
Avila;05019;0501905003;2023;47,500;42,000;85,800;2,100;14,200
Avila;05019;0501905004;2021;40,100;36,000;94,300;2,300;5,700
Avila;05019;0501905004;2022;40,400;35,200;90,900;2,300;9,100
Avila;05019;0501905004;2023;41,200;35,000;91,500;2,300;8,500
Avila;05019;0501905005;2021;45,800;34,600;95,800;2,200;4,200
Avila;05019;0501905005;2022;46,100;32,200;94,700;2,300;5,300
Avila;05019;0501905005;2023;45,100;34,200;93,200;2,200;6,800
Avila;05019;0501905006;2021;35,300;39,000;95,600;2,200;4,400
Avila;05019;0501905006;2022;36,100;35,700;94,800;2,300;5,200
Avila;05019;0501905006;2023;36,700;37,700;94,600;2,200;5,400
Avila;05019;0501906001;2021;51,500;41,200;92,000;2,100;8,000
Avila;05019;0501906001;2022;51,500;41,400;89,700;2,100;10,300
Avila;05019;0501906001;2023;51,800;43,100;89,400;2,100;10,600
Avila;05019;0501906002;2021;47,000;45,900;85,600;2,000;14,400
Avila;05019;0501906002;2022;46,100;46,100;83,200;2,000;16,800
Avila;05019;0501906002;2023;45,600;46,800;81,100;2,000;18,900
Avila;05019;0501906003;2021;33,200;25,300;96,000;2,700;4,000
Avila;05019;0501906003;2022;33,600;22,000;95,300;2,800;4,700
Avila;05019;0501906003;2023;34,100;25,100;94,600;2,700;5,400
Avila;05019;0501906004;2021;43,800;46,400;76,800;2,100;23,200
Avila;05019;0501906004;2022;43,000;45,800;70,800;2,100;29,200
Avila;05019;0501906004;2023;42,900;44,400;66,900;2,200;33,100
Avila;05019;0501906005;2021;49,600;39,700;83,000;2,100;17,000
Avila;05019;0501906005;2022;50,300;38,600;81,800;2,100;18,200
Avila;05019;0501906005;2023;49,100;39,400;78,000;2,100;22,000
Avila;05019;0501906006;2021;50,200;38,800;84,400;2,100;15,600
Avila;05019;0501906006;2022;49,900;38,400;81,900;2,100;18,100
Avila;05019;0501906006;2023;49,200;38,100;79,600;2,100;20,400
Avila;05019;0501906008;2021;50,500;37,400;86,800;2,200;13,200
Avila;05019;0501906008;2022;50,000;37,900;84,100;2,200;15,900
Avila;05019;0501906008;2023;49,700;38,100;81,700;2,200;18,300
Avila;05019;0501906009;2021;54,000;40,600;94,400;2,000;5,600
Avila;05019;0501906009;2022;54,100;38,900;92,800;2,100;7,200
Avila;05019;0501906009;2023;53,600;40,600;91,800;2,100;8,200
Avila;05019;0501906010;2021;51,500;36,300;90,400;2,200;9,600
Avila;05019;0501906010;2022;52,200;38,800;89,600;2,100;10,400
Avila;05019;0501906010;2023;52,400;39,000;88,500;2,100;11,500
Avila;05019;0501906011;2021;38,800;23,100;98,800;2,800;1,200
Avila;05019;0501906011;2022;39,700;22,400;98,700;2,900;1,300
Avila;05019;0501906011;2023;40,100;22,300;98,700;2,900;1,300
Avila;05019;0501906012;2021;37,000;24,600;97,700;2,600;2,300
Avila;05019;0501906012;2022;37,500;22,400;97,500;2,700;2,500
Avila;05019;0501906012;2023;38,200;24,500;97,300;2,600;2,700
Avila;05019;0501906013;2021;37,100;34,400;96,200;2,400;3,800
Avila;05019;0501906013;2022;37,800;33,100;95,500;2,400;4,500
Avila;05019;0501906013;2023;37,900;34,900;95,200;2,300;4,800
Avila;05019;0501906014;2021;44,400;26,900;98,400;2,500;1,600
Avila;05019;0501906014;2022;45,100;28,200;97,400;2,500;2,600
Avila;05019;0501906014;2023;45,700;29,600;97,200;2,400;2,800
Avila;05021;0502101001;2021;48,000;39,800;92,600;2,200;7,400
Avila;05021;0502101001;2022;47,800;40,100;90,300;2,200;9,700
Avila;05021;0502101001;2023;48,300;42,100;90,000;2,100;10,000
Avila;05021;0502101002;2021;48,100;37,600;95,500;2,100;4,500
Avila;05021;0502101002;2022;48,700;39,100;95,300;2,100;4,700
Avila;05021;0502101002;2023;48,600;38,500;93,000;2,100;7,000
Avila;05022;0502201001;2021;48,100;32,300;92,100;2,400;7,900
Avila;05022;0502201001;2022;48,400;31,900;90,900;2,400;9,100
Avila;05022;0502201001;2023;48,100;33,900;89,700;2,400;10,300
Avila;05022;0502201002;2021;49,500;40,100;94,000;2,200;6,000
Avila;05022;0502201002;2022;48,700;39,500;90,500;2,200;9,500
Avila;05022;0502201002;2023;49,000;40,100;90,600;2,200;9,400
Avila;05023;0502301001;2021;57,300;29,200;99,400;2,400;0,600
