Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Avila;05001;2021;0;1;3;2;11;7;7;9;12;17;21;14;12;14;14;11;21;7;6;7;0;8;122;66;8,250;0,607
Avila;05001;2022;0;0;3;3;10;12;10;11;13;15;19;26;13;12;20;12;20;8;5;4;0;8;139;69;8,625;0,554
Avila;05001;2023;0;3;6;4;9;11;12;9;10;16;20;21;15;10;21;13;17;4;7;2;1;15;131;65;4,333;0,611
Avila;05002;2021;2;119;128;145;132;127;112;114;183;258;236;216;214;209;175;148;84;69;53;25;3;418;1775;559;1,337;0,550
Avila;05002;2022;2;100;134;147;125;137;105;121;161;241;248;226;204;217;190;151;87;63;59;25;5;406;1760;582;1,433;0,561
Avila;05002;2023;1;97;137;143;133;142;110;123;154;237;253;217;208;208;182;156;93;61;51;29;4;403;1759;577;1,432;0,557
Avila;05005;2021;0;1;5;3;8;5;6;15;9;7;12;18;13;19;5;9;11;8;11;3;3;11;110;50;4,545;0,555
Avila;05005;2022;0;1;6;1;8;7;5;13;10;6;9;22;10;22;7;7;13;7;12;3;3;10;110;52;5,200;0,564
Avila;05005;2023;1;1;5;3;5;10;3;14;10;9;9;18;12;22;10;4;13;7;13;3;3;10;111;54;5,400;0,577
Avila;05007;2021;1;0;2;3;2;6;5;3;2;3;10;13;7;4;5;8;17;10;8;5;0;5;55;54;10,800;1,073
Avila;05007;2022;1;0;1;2;3;5;6;1;4;3;7;14;8;4;3;7;13;11;6;5;1;4;54;47;11,750;0,944
Avila;05007;2023;1;0;1;2;2;4;3;3;3;3;7;13;9;5;1;5;15;11;8;4;2;3;52;47;15,667;0,962
Avila;05008;2021;0;7;4;9;8;5;11;14;10;16;9;11;13;18;21;27;12;7;11;5;0;22;113;83;3,773;0,929
Avila;05008;2022;0;6;7;8;9;4;10;13;9;18;9;9;16;15;21;24;16;7;10;6;0;23;110;84;3,652;0,973
Avila;05008;2023;0;5;8;7;11;3;8;12;9;15;13;8;13;13;23;22;18;7;9;5;1;22;103;85;3,864;1,039
Avila;05010;2021;0;0;4;2;6;2;9;4;6;8;12;20;10;10;5;5;14;21;6;5;1;7;86;57;8,143;0,744
Avila;05010;2022;0;0;1;8;5;3;8;3;5;7;16;19;10;9;6;4;13;18;10;4;2;10;84;57;5,700;0,798
Avila;05010;2023;1;0;1;7;6;3;6;5;4;8;11;19;14;8;7;6;10;16;11;5;2;9;83;58;6,444;0,807
Avila;05012;2021;0;2;2;5;3;4;5;5;4;9;7;2;14;9;8;16;12;4;8;6;2;10;61;56;5,600;1,082
Avila;05012;2022;0;3;1;5;5;5;4;8;5;7;9;3;11;11;8;16;14;5;6;5;2;10;67;56;5,600;0,985
Avila;05012;2023;0;3;3;4;8;4;4;6;7;5;12;2;12;13;10;15;12;5;4;4;2;12;71;52;4,333;0,901
Avila;05013;2021;2;20;25;27;29;36;28;40;39;50;73;60;92;68;61;78;84;51;44;31;4;78;509;355;4,551;0,851
Avila;05013;2022;4;16;27;22;32;36;32;40;32;51;64;62;100;68;67;75;84;52;45;31;5;71;511;363;5,113;0,849
Avila;05013;2023;3;11;33;21;35;37;30;33;37;59;72;74;93;84;64;63;89;56;45;23;9;72;547;352;4,889;0,775
Avila;05014;2021;3;174;256;289;278;299;279;275;364;448;456;497;606;508;441;379;286;244;225;99;25;775;3954;1702;2,196;0,626
Avila;05014;2022;3;193;237;291;288;283;263;282;349;455;451;495;604;524;475;374;314;228;228;109;31;778;3937;1762;2,265;0,645
Avila;05014;2023;2;197;227;296;288;259;247;286;323;460;469;495;559;586;475;382;340;226;214;128;27;777;3915;1794;2,309;0,657
Avila;05015;2021;0;2;0;1;2;2;5;2;1;1;6;2;8;8;1;1;2;9;6;8;0;3;37;27;9,000;0,811
Avila;05015;2022;0;2;0;1;2;0;7;4;1;1;4;4;8;8;1;1;2;6;9;8;0;3;39;27;9,000;0,769
Avila;05015;2023;0;0;2;1;2;0;5;3;2;2;4;3;6;10;1;1;2;4;8;4;1;3;37;21;7,000;0,649
Avila;05016;2021;2;273;383;394;446;457;365;404;446;613;656;662;658;564;425;367;296;225;167;75;18;1139;5182;1575;1,383;0,524
Avila;05016;2022;1;253;354;414;433;472;384;369;454;571;656;653;665;591;425;372;315;228;162;79;23;1108;5161;1605;1,449;0,526
Avila;05016;2023;1;257;341;424;396;470;369;361;424;536;633;641;662;598;459;378;313;236;168;80;21;1102;5010;1656;1,503;0,550
Avila;05017;2021;1;0;0;0;0;2;6;3;2;5;6;8;9;9;5;5;6;4;8;3;0;0;50;32;inf;0,640
Avila;05017;2022;0;1;0;0;0;1;6;3;2;5;4;8;9;10;4;6;5;6;4;5;1;1;48;31;31,000;0,667
Avila;05017;2023;0;1;0;0;0;0;5;5;1;4;5;6;10;11;4;4;4;4;4;5;2;1;47;27;27,000;0,596
Avila;05018;2021;0;0;0;0;1;2;1;0;0;1;2;3;8;3;1;0;0;1;4;0;0;0;21;6;inf;0,286
Avila;05018;2022;0;0;0;0;1;1;1;0;0;1;2;3;8;4;1;0;0;1;4;0;0;0;21;6;inf;0,286
Avila;05018;2023;0;0;0;0;0;1;2;0;0;0;2;3;7;6;0;1;0;0;2;0;0;0;21;3;inf;0,143
