Provincia;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Avila;2021;83;5168;6399;7175;7027;7208;7286;7890;9091;11200;11900;12440;12963;11966;9601;8689;7505;6190;5458;2862;797;20139;97574;41185;2,045;0,628
Avila;2022;112;4839;6315;7174;7092;7192;7275;7681;8827;10995;11935;12373;13090;12441;10126;8795;7667;5855;5498;2968;852;19739;97490;41873;2,121;0,632
Avila;2023;135;4802;6259;7220;7280;7212;7198;7660;8786;10722;12081;12292;12997;12856;10494;8945;7814;5875;5237;3026;873;19732;97633;42399;2,149;0,636
Burgos;2021;195;12436;15552;16866;15990;16041;15944;18129;21393;26968;28234;28051;28035;26338;21750;19086;15745;11767;10248;5654;1620;48029;221948;86065;1,792;0,604
Burgos;2022;211;11769;15089;17014;16196;16215;15710;17522;20640;25789;28525;28103;28101;26653;22442;19301;16353;11396;10341;5747;1729;47102;220224;87520;1,858;0,611
Burgos;2023;229;11580;14861;17225;16723;16637;16046;17616;20367;24968;28756;28295;28211;26864;23247;19801;16709;11696;9965;5782;1792;46997;221152;89221;1,898;0,616
Leon;2021;257;13010;15983;17833;18069;18291;18915;21602;27258;32796;34311;35818;37698;36133;29590;26033;22333;18482;17345;8416;2262;50423;277294;124718;2,473;0,632
Leon;2022;281;12454;15639;17784;18091;18330;18399;20838;26083;31916;34061;35515;37420;36594;30718;26188;22829;17439;17505;8728;2458;49492;273632;126146;2,549;0,642
Leon;2023;306;12140;15340;17729;18390;18514;18468;20506;25089;31190;34129;35265;37165;36944;32079;26830;23174;17262;16389;9163;2501;48888;271981;127704;2,612;0,649
Palencia;2021;89;5134;6128;6375;6551;6740;7082;7951;9557;11443;11564;12451;13387;13243;10874;9001;7459;5390;5154;2755;818;18944;98662;41540;2,193;0,613
Palencia;2022;101;4908;6010;6345;6603;6613;6943;7676;9191;11220;11509;12207;13297;13303;11350;9242;7615;5187;5035;2788;850;18571;97254;42168;2,271;0,625
Palencia;2023;122;4751;6041;6401;6700;6588;6869;7477;9004;10972;11565;12013;13213;13285;11813;9524;7701;5312;4749;2825;862;18526;96353;42908;2,316;0,638
Salamanca;2021;218;10170;12347;14009;14298;14753;15372;16288;19031;22529;24216;25916;26523;24495;19851;18397;16581;13326;11589;5954;1872;39388;200559;87788;2,229;0,634
Salamanca;2022;266;9704;12047;13970;14459;14893;14981;15894;18254;21927;23935;25801;26582;24950;20661;18371;16822;12781;11757;6278;1952;38605;198792;88888;2,302;0,641
Salamanca;2023;289;9584;11802;13978;14777;15275;15206;15764;17848;21616;23750;25529;26662;25426;21502;18635;16998;12758;11343;6420;1927;38314;198903;89872;2,346;0,644
Segovia;2021;83;5581;6705;7382;7468;7599;7620;7937;9409;11296;12036;12497;12527;10969;8352;7219;6159;5117;4621;2396;653;21146;97880;34600;1,636;0,570
Segovia;2022;95;5365;6570;7379;7499;7635;7631;7833;9072;10973;12103;12430;12689;11352;8838;7313;6313;4815;4651;2481;694;20813;97718;35200;1,691;0,573
Segovia;2023;118;5297;6510;7510;7639;7684;7765;8110;8908;10837;12258;12355;12925;11629;9382;7478;6408;4771;4515;2561;672;20833;98594;35905;1,723;0,575
Soria;2021;73;3187;3592;3944;4013;4290;4238;4522;5208;6276;6479;7007;7191;6443;4986;4492;4004;3282;3204;1811;554;11515;54875;22406;1,946;0,618
Soria;2022;83;3068;3507;3949;4017;4262;4208;4398;5054;6080;6532;6809;7218;6680;5194;4473;4068;3149;3207;1796;578;11317;54465;22548;1,992;0,622
Soria;2023;87;3086;3579;4029;4117;4417;4244;4516;5151;6041;6592;6814;7323;6872;5407;4594;4077;3144;3022;1837;579;11515;55266;22747;1,975;0,620
Valladolid;2021;213;18065;23010;25453;23997;22593;22801;24871;31811;42527;43875;42061;39414;36550;31314;29270;24284;16767;12636;6139;1729;71322;325706;122352;1,715;0,595
Valladolid;2022;232;17066;22531;25410;24701;22837;22537;24264;30130;40356;44632;42332;39765;36938;32037;29722;24832;16568;13034;6417;1817;69938;323561;124659;1,782;0,601
Valladolid;2023;264;16820;21909;25590;25382;23656;23073;24416;29213;38803;44875;42818;40485;37189;32735;29895;25650;17212;12806;6653;1889;69393;324836;127104;1,832;0,605
Zamora;2021;129;4378;5273;6001;6243;6815;7087;7893;9263;11510;11747;12834;14115;13373;11470;10538;9830;8406;7451;3739;1070;16896;99636;52633;3,115;0,698
Zamora;2022;133;4188;5147;5870;6284;6704;6978;7662;8907;11122;11755;12643;13954;13638;11953;10675;9710;7930;7656;3849;1110;16456;98396;53016;3,222;0,706
Zamora;2023;157;4070;5077;5956;6283;6650;6692;7438;8656;10797;11822;12427;13874;13909;12240;10894;9715;7819;7352;3942;1157;16348;97303;53276;3,259;0,716
