Provincia;CMuni;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05001;2021;107;89;196;54,592;45,408
Avila;05001;2022;120;96;216;55,556;44,444
Avila;05001;2023;122;89;211;57,820;42,180
Avila;05002;2021;1405;1347;2752;51,054;48,946
Avila;05002;2022;1410;1338;2748;51,310;48,690
Avila;05002;2023;1393;1346;2739;50,858;49,142
Avila;05005;2021;89;82;171;52,047;47,953
Avila;05005;2022;89;83;172;51,744;48,256
Avila;05005;2023;91;84;175;52,000;48,000
Avila;05007;2021;60;54;114;52,632;47,368
Avila;05007;2022;55;50;105;52,381;47,619
Avila;05007;2023;54;48;102;52,941;47,059
Avila;05008;2021;106;112;218;48,624;51,376
Avila;05008;2022;105;112;217;48,387;51,613
Avila;05008;2023;104;106;210;49,524;50,476
Avila;05010;2021;75;75;150;50,000;50,000
Avila;05010;2022;76;75;151;50,331;49,669
Avila;05010;2023;76;74;150;50,667;49,333
Avila;05012;2021;72;55;127;56,693;43,307
Avila;05012;2022;76;57;133;57,143;42,857
Avila;05012;2023;73;62;135;54,074;45,926
Avila;05013;2021;476;466;942;50,531;49,469
Avila;05013;2022;471;474;945;49,841;50,159
Avila;05013;2023;471;500;971;48,507;51,493
Avila;05014;2021;3117;3314;6431;48,468;51,532
Avila;05014;2022;3150;3327;6477;48,634;51,366
Avila;05014;2023;3154;3332;6486;48,628;51,372
Avila;05015;2021;32;35;67;47,761;52,239
Avila;05015;2022;34;35;69;49,275;50,725
Avila;05015;2023;29;32;61;47,541;52,459
Avila;05016;2021;3847;4049;7896;48,721;51,279
Avila;05016;2022;3825;4049;7874;48,578;51,422
Avila;05016;2023;3766;4002;7768;48,481;51,519
Avila;05017;2021;49;33;82;59,756;40,244
Avila;05017;2022;47;33;80;58,750;41,250
Avila;05017;2023;45;30;75;60,000;40,000
Avila;05018;2021;16;11;27;59,259;40,741
Avila;05018;2022;16;11;27;59,259;40,741
Avila;05018;2023;15;9;24;62,500;37,500
Avila;05019;2021;27683;30437;58120;47,631;52,369
Avila;05019;2022;27754;30474;58228;47,664;52,336
Avila;05019;2023;27873;30675;58548;47,607;52,393
Avila;05021;2021;1112;1198;2310;48,139;51,861
Avila;05021;2022;1084;1178;2262;47,922;52,078
Avila;05021;2023;1105;1184;2289;48,274;51,726
Avila;05022;2021;1008;962;1970;51,168;48,832
Avila;05022;2022;1005;954;1959;51,302;48,698
Avila;05022;2023;1009;998;2007;50,274;49,726
Avila;05023;2021;97;84;181;53,591;46,409
Avila;05023;2022;96;79;175;54,857;45,143
Avila;05023;2023;95;81;176;53,977;46,023
Avila;05024;2021;94;88;182;51,648;48,352
Avila;05024;2022;94;80;174;54,023;45,977
Avila;05024;2023;88;76;164;53,659;46,341
Avila;05025;2021;40;37;77;51,948;48,052
Avila;05025;2022;41;37;78;52,564;47,436
Avila;05025;2023;37;33;70;52,857;47,143
Avila;05026;2021;101;91;192;52,604;47,396
Avila;05026;2022;101;89;190;53,158;46,842
Avila;05026;2023;93;83;176;52,841;47,159
Avila;05027;2021;179;156;335;53,433;46,567
Avila;05027;2022;179;160;339;52,802;47,198
Avila;05027;2023;175;151;326;53,681;46,319
Avila;05029;2021;51;39;90;56,667;43,333
Avila;05029;2022;51;40;91;56,044;43,956
Avila;05029;2023;48;39;87;55,172;44,828
Avila;05030;2021;27;22;49;55,102;44,898
Avila;05030;2022;30;23;53;56,604;43,396
Avila;05030;2023;28;22;50;56,000;44,000
Avila;05033;2021;94;87;181;51,934;48,066
Avila;05033;2022;90;84;174;51,724;48,276
Avila;05033;2023;87;82;169;51,479;48,521
Avila;05034;2021;8;7;15;53,333;46,667
Avila;05034;2022;9;5;14;64,286;35,714
Avila;05034;2023;9;6;15;60,000;40,000
Avila;05035;2021;50;51;101;49,505;50,495
Avila;05035;2022;50;49;99;50,505;49,495
Avila;05035;2023;55;51;106;51,887;48,113
Avila;05036;2021;63;54;117;53,846;46,154
Avila;05036;2022;60;51;111;54,054;45,946
Avila;05036;2023;56;51;107;52,336;47,664
Avila;05037;2021;131;101;232;56,466;43,534
Avila;05037;2022;129;101;230;56,087;43,913
Avila;05037;2023;125;90;215;58,140;41,860
Avila;05038;2021;78;53;131;59,542;40,458
Avila;05038;2022;75;49;124;60,484;39,516
Avila;05038;2023;108;73;181;59,669;40,331
Avila;05039;2021;26;19;45;57,778;42,222
Avila;05039;2022;26;18;44;59,091;40,909
Avila;05039;2023;26;16;42;61,905;38,095
Avila;05040;2021;42;21;63;66,667;33,333
Avila;05040;2022;39;20;59;66,102;33,898
Avila;05040;2023;37;20;57;64,912;35,088
Avila;05041;2021;651;576;1227;53,056;46,944
Avila;05041;2022;636;572;1208;52,649;47,351
Avila;05041;2023;658;595;1253;52,514;47,486
Avila;05042;2021;77;83;160;48,125;51,875
Avila;05042;2022;74;83;157;47,134;52,866
Avila;05042;2023;74;84;158;46,835;53,165
Avila;05043;2021;36;32;68;52,941;47,059
Avila;05043;2022;39;40;79;49,367;50,633
