Provincia;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;2021;79884;79014;158898;50,274;49,726
Avila;2022;80060;79042;159102;50,320;49,680
Avila;2023;80310;79454;159764;50,268;49,732
Burgos;2021;178040;178002;356042;50,005;49,995
Burgos;2022;177509;177337;354846;50,024;49,976
Burgos;2023;178592;178778;357370;49,974;50,026
Leon;2021;220034;232401;452435;48,633;51,367
Leon;2022;218430;230840;449270;48,619;51,381
Leon;2023;218038;230535;448573;48,607;51,393
Palencia;2021;78883;80263;159146;49,566;50,434
Palencia;2022;78316;79677;157993;49,569;50,431
Palencia;2023;78125;79662;157787;49,513;50,487
Salamanca;2021;159202;168533;327735;48,576;51,424
Salamanca;2022;158487;167798;326285;48,573;51,427
Salamanca;2023;158779;168310;327089;48,543;51,457
Segovia;2021;77152;76474;153626;50,221;49,779
Segovia;2022;77203;76528;153731;50,220;49,780
Segovia;2023;77867;77465;155332;50,129;49,871
Soria;2021;44939;43857;88796;50,609;49,391
Soria;2022;44754;43576;88330;50,667;49,333
Soria;2023;45396;44132;89528;50,706;49,294
Valladolid;2021;252999;266381;519380;48,712;51,288
Valladolid;2022;252298;265860;518158;48,691;51,309
Valladolid;2023;253708;267625;521333;48,665;51,335
Zamora;2021;83824;85341;169165;49,552;50,448
Zamora;2022;83170;84698;167868;49,545;50,455
Zamora;2023;82770;84157;166927;49,585;50,415
