Provincia;CMuni;CUSEC;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05001;0500101001;2021;107;89;196;54,590;45,410
Avila;05001;0500101001;2022;120;96;216;55,560;44,440
Avila;05001;0500101001;2023;122;89;211;57,820;42,180
Avila;05002;0500201001;2021;761;711;1472;51,700;48,300
Avila;05002;0500201001;2022;756;690;1446;52,280;47,720
Avila;05002;0500201001;2023;758;689;1447;52,380;47,620
Avila;05002;0500201002;2021;644;636;1280;50,310;49,690
Avila;05002;0500201002;2022;654;648;1302;50,230;49,770
Avila;05002;0500201002;2023;635;657;1292;49,150;50,850
Avila;05005;0500501001;2021;89;82;171;52,050;47,950
Avila;05005;0500501001;2022;89;83;172;51,740;48,260
Avila;05005;0500501001;2023;91;84;175;52,000;48,000
Avila;05007;0500701001;2021;60;54;114;52,630;47,370
Avila;05007;0500701001;2022;55;50;105;52,380;47,620
Avila;05007;0500701001;2023;54;48;102;52,940;47,060
Avila;05008;0500801001;2021;106;112;218;48,620;51,380
Avila;05008;0500801001;2022;105;112;217;48,390;51,610
Avila;05008;0500801001;2023;104;106;210;49,520;50,480
Avila;05010;0501001001;2021;75;75;150;50,000;50,000
Avila;05010;0501001001;2022;76;75;151;50,330;49,670
Avila;05010;0501001001;2023;76;74;150;50,670;49,330
Avila;05012;0501201001;2021;72;55;127;56,690;43,310
Avila;05012;0501201001;2022;76;57;133;57,140;42,860
Avila;05012;0501201001;2023;73;62;135;54,070;45,930
Avila;05013;0501301001;2021;476;466;942;50,530;49,470
Avila;05013;0501301001;2022;471;474;945;49,840;50,160
Avila;05013;0501301001;2023;471;500;971;48,510;51,490
Avila;05014;0501401001;2021;911;960;1871;48,690;51,310
Avila;05014;0501401001;2022;903;931;1834;49,240;50,760
Avila;05014;0501401001;2023;908;948;1856;48,920;51,080
Avila;05014;0501401002;2021;273;295;568;48,060;51,940
Avila;05014;0501401002;2022;284;314;598;47,490;52,510
Avila;05014;0501401002;2023;285;299;584;48,800;51,200
Avila;05014;0501402001;2021;296;294;590;50,170;49,830
Avila;05014;0501402001;2022;309;292;601;51,410;48,590
Avila;05014;0501402001;2023;311;303;614;50,650;49,350
Avila;05014;0501402002;2021;1039;1146;2185;47,550;52,450
Avila;05014;0501402002;2022;1035;1138;2173;47,630;52,370
Avila;05014;0501402002;2023;1030;1124;2154;47,820;52,180
Avila;05014;0501403001;2021;598;619;1217;49,140;50,860
Avila;05014;0501403001;2022;619;652;1271;48,700;51,300
Avila;05014;0501403001;2023;620;658;1278;48,510;51,490
Avila;05015;0501501001;2021;32;35;67;47,760;52,240
Avila;05015;0501501001;2022;34;35;69;49,280;50,720
Avila;05015;0501501001;2023;29;32;61;47,540;52,460
Avila;05016;0501601001;2021;488;449;937;52,080;47,920
Avila;05016;0501601001;2022;486;449;935;51,980;48,020
Avila;05016;0501601001;2023;491;449;940;52,230;47,770
Avila;05016;0501602001;2021;831;888;1719;48,340;51,660
Avila;05016;0501602001;2022;820;884;1704;48,120;51,880
Avila;05016;0501602001;2023;805;880;1685;47,770;52,230
Avila;05016;0501602002;2021;529;565;1094;48,350;51,650
Avila;05016;0501602002;2022;515;572;1087;47,380;52,620
Avila;05016;0501602002;2023;506;563;1069;47,330;52,670
Avila;05016;0501602003;2021;735;792;1527;48,130;51,870
Avila;05016;0501602003;2022;741;802;1543;48,020;51,980
Avila;05016;0501602003;2023;722;791;1513;47,720;52,280
Avila;05016;0501602004;2021;567;576;1143;49,610;50,390
Avila;05016;0501602004;2022;562;567;1129;49,780;50,220
Avila;05016;0501602004;2023;554;558;1112;49,820;50,180
Avila;05016;0501602005;2021;697;779;1476;47,220;52,780
Avila;05016;0501602005;2022;701;775;1476;47,490;52,510
Avila;05016;0501602005;2023;688;761;1449;47,480;52,520
Avila;05017;0501701001;2021;49;33;82;59,760;40,240
Avila;05017;0501701001;2022;47;33;80;58,750;41,250
Avila;05017;0501701001;2023;45;30;75;60,000;40,000
Avila;05018;0501801001;2021;16;11;27;59,260;40,740
Avila;05018;0501801001;2022;16;11;27;59,260;40,740
Avila;05018;0501801001;2023;15;9;24;62,500;37,500
Avila;05019;0501901001;2021;580;680;1260;46,030;53,970
Avila;05019;0501901001;2022;581;675;1256;46,260;53,740
Avila;05019;0501901001;2023;582;669;1251;46,520;53,480
Avila;05019;0501901002;2021;655;717;1372;47,740;52,260
Avila;05019;0501901002;2022;638;708;1346;47,400;52,600
Avila;05019;0501901002;2023;662;704;1366;48,460;51,540
Avila;05019;0501902001;2021;681;884;1565;43,510;56,490
Avila;05019;0501902001;2022;692;876;1568;44,130;55,870
Avila;05019;0501902001;2023;731;900;1631;44,820;55,180
Avila;05019;0501902002;2021;503;659;1162;43,290;56,710
Avila;05019;0501902002;2022;500;655;1155;43,290;56,710
Avila;05019;0501902002;2023;493;646;1139;43,280;56,720
Avila;05019;0501903001;2021;752;751;1503;50,030;49,970
Avila;05019;0501903001;2022;746;744;1490;50,070;49,930
Avila;05019;0501903001;2023;727;727;1454;50,000;50,000
Avila;05019;0501903002;2021;866;893;1759;49,230;50,770
Avila;05019;0501903002;2022;838;892;1730;48,440;51,560
Avila;05019;0501903002;2023;841;890;1731;48,580;51,420
Avila;05019;0501904001;2021;803;921;1724;46,580;53,420
Avila;05019;0501904001;2022;787;930;1717;45,840;54,160
Avila;05019;0501904001;2023;796;933;1729;46,040;53,960
Avila;05019;0501904002;2021;720;788;1508;47,750;52,250
Avila;05019;0501904002;2022;709;779;1488;47,650;52,350
Avila;05019;0501904002;2023;707;794;1501;47,100;52,900
Avila;05019;0501904003;2021;539;601;1140;47,280;52,720
Avila;05019;0501904003;2022;534;604;1138;46,920;53,080
Avila;05019;0501904003;2023;533;583;1116;47,760;52,240
Avila;05019;0501904004;2021;500;551;1051;47,570;52,430
Avila;05019;0501904004;2022;507;561;1068;47,470;52,530
Avila;05019;0501904004;2023;502;585;1087;46,180;53,820
Avila;05019;0501904005;2021;620;724;1344;46,130;53,870
Avila;05019;0501904005;2022;622;713;1335;46,590;53,410
Avila;05019;0501904005;2023;636;713;1349;47,150;52,850
Avila;05019;0501904006;2021;734;802;1536;47,790;52,210
Avila;05019;0501904006;2022;716;780;1496;47,860;52,140
Avila;05019;0501904006;2023;704;769;1473;47,790;52,210
Avila;05019;0501904008;2021;1115;1124;2239;49,800;50,200
Avila;05019;0501904008;2022;1130;1142;2272;49,740;50,260
Avila;05019;0501904008;2023;1128;1140;2268;49,740;50,260
Avila;05019;0501904009;2021;716;777;1493;47,960;52,040
Avila;05019;0501904009;2022;724;767;1491;48,560;51,440
Avila;05019;0501904009;2023;702;750;1452;48,350;51,650
Avila;05019;0501904010;2021;464;495;959;48,380;51,620
Avila;05019;0501904010;2022;462;484;946;48,840;51,160
Avila;05019;0501904010;2023;445;482;927;48,000;52,000
Avila;05019;0501904011;2021;1212;1303;2515;48,190;51,810
Avila;05019;0501904011;2022;1206;1300;2506;48,120;51,880
Avila;05019;0501904011;2023;1204;1295;2499;48,180;51,820
Avila;05019;0501904012;2021;860;901;1761;48,840;51,160
Avila;05019;0501904012;2022;883;940;1823;48,440;51,560
Avila;05019;0501904012;2023;902;953;1855;48,630;51,370
Avila;05019;0501904013;2021;455;529;984;46,240;53,760
Avila;05019;0501904013;2022;460;526;986;46,650;53,350
Avila;05019;0501904013;2023;436;525;961;45,370;54,630
Avila;05019;0501904014;2021;795;849;1644;48,360;51,640
Avila;05019;0501904014;2022;788;847;1635;48,200;51,800
Avila;05019;0501904014;2023;782;866;1648;47,450;52,550
Avila;05019;0501905001;2021;668;782;1450;46,070;53,930
Avila;05019;0501905001;2022;660;771;1431;46,120;53,880
Avila;05019;0501905001;2023;670;783;1453;46,110;53,890
Avila;05019;0501905002;2021;792;871;1663;47,620;52,380
Avila;05019;0501905002;2022;786;845;1631;48,190;51,810
Avila;05019;0501905002;2023;800;854;1654;48,370;51,630
Avila;05019;0501905003;2021;504;661;1165;43,260;56,740
Avila;05019;0501905003;2022;497;643;1140;43,600;56,400
Avila;05019;0501905003;2023;512;666;1178;43,460;56,540
Avila;05019;0501905004;2021;1091;1113;2204;49,500;50,500
Avila;05019;0501905004;2022;1113;1117;2230;49,910;50,090
Avila;05019;0501905004;2023;1121;1138;2259;49,620;50,380
Avila;05019;0501905005;2021;780;815;1595;48,900;51,100
Avila;05019;0501905005;2022;765;803;1568;48,790;51,210
Avila;05019;0501905005;2023;750;813;1563;47,980;52,020
Avila;05019;0501905006;2021;1365;1434;2799;48,770;51,230
Avila;05019;0501905006;2022;1385;1419;2804;49,390;50,610
Avila;05019;0501905006;2023;1421;1452;2873;49,460;50,540
Avila;05019;0501906001;2021;389;476;865;44,970;55,030
Avila;05019;0501906001;2022;386;494;880;43,860;56,140
Avila;05019;0501906001;2023;390;494;884;44,120;55,880
Avila;05019;0501906002;2021;1173;1413;2586;45,360;54,640
Avila;05019;0501906002;2022;1179;1420;2599;45,360;54,640
Avila;05019;0501906002;2023;1216;1458;2674;45,470;54,530
Avila;05019;0501906003;2021;864;907;1771;48,790;51,210
Avila;05019;0501906003;2022;918;960;1878;48,880;51,120
Avila;05019;0501906003;2023;909;964;1873;48,530;51,470
Avila;05019;0501906004;2021;406;451;857;47,370;52,630
Avila;05019;0501906004;2022;424;480;904;46,900;53,100
Avila;05019;0501906004;2023;426;508;934;45,610;54,390
Avila;05019;0501906005;2021;608;727;1335;45,540;54,460
Avila;05019;0501906005;2022;607;731;1338;45,370;54,630
Avila;05019;0501906005;2023;599;723;1322;45,310;54,690
Avila;05019;0501906006;2021;308;360;668;46,110;53,890
Avila;05019;0501906006;2022;821;945;1766;46,490;53,510
Avila;05019;0501906006;2023;836;960;1796;46,550;53,450
Avila;05019;0501906007;2021;530;601;1131;46,860;53,140
Avila;05019;0501906008;2021;584;605;1189;49,120;50,880
Avila;05019;0501906008;2022;585;603;1188;49,240;50,760
Avila;05019;0501906008;2023;582;608;1190;48,910;51,090
Avila;05019;0501906009;2021;314;407;721;43,550;56,450
Avila;05019;0501906009;2022;307;403;710;43,240;56,760
Avila;05019;0501906009;2023;314;417;731;42,950;57,050
Avila;05019;0501906010;2021;427;475;902;47,340;52,660
Avila;05019;0501906010;2022;439;477;916;47,930;52,070
Avila;05019;0501906010;2023;430;471;901;47,720;52,280
Avila;05019;0501906011;2021;589;629;1218;48,360;51,640
Avila;05019;0501906011;2022;626;649;1275;49,100;50,900
Avila;05019;0501906011;2023;636;656;1292;49,230;50,770
Avila;05019;0501906012;2021;1025;1081;2106;48,670;51,330
Avila;05019;0501906012;2022;1020;1091;2111;48,320;51,680
Avila;05019;0501906012;2023;1008;1060;2068;48,740;51,260
Avila;05019;0501906013;2021;1069;1076;2145;49,840;50,160
Avila;05019;0501906013;2022;1089;1098;2187;49,790;50,210
Avila;05019;0501906013;2023;1120;1138;2258;49,600;50,400
Avila;05019;0501906014;2021;627;604;1231;50,930;49,070
Avila;05019;0501906014;2022;624;602;1226;50,900;49,100
Avila;05019;0501906014;2023;620;588;1208;51,320;48,680
Avila;05021;0502101001;2021;555;621;1176;47,190;52,810
Avila;05021;0502101001;2022;545;616;1161;46,940;53,060
Avila;05021;0502101001;2023;566;622;1188;47,640;52,360
Avila;05021;0502101002;2021;557;577;1134;49,120;50,880
