Provincia;CMuni;area_km2
Avila;05001;31,407
Avila;05002;58,656
Avila;05005;17,097
Avila;05007;8,485
Avila;05008;24,238
Avila;05010;17,153
Avila;05012;15,016
Avila;05013;27,078
Avila;05014;194,585
Avila;05015;14,971
Avila;05016;45,672
Avila;05017;12,839
Avila;05018;10,235
Avila;05019;230,656
Avila;05021;12,688
Avila;05022;153,163
Avila;05023;20,030
Avila;05024;32,164
Avila;05025;19,866
Avila;05026;17,305
Avila;05027;16,689
Avila;05029;19,778
Avila;05030;9,005
Avila;05033;39,603
Avila;05034;12,973
Avila;05035;22,955
Avila;05036;22,083
Avila;05037;73,881
Avila;05038;55,061
Avila;05039;18,347
Avila;05040;30,753
Avila;05041;55,034
Avila;05042;11,801
Avila;05043;17,964
Avila;05044;110,073
Avila;05045;19,168
Avila;05046;6,670
Avila;05047;213,925
Avila;05048;14,372
Avila;05049;40,467
Avila;05051;14,168
Avila;05052;22,141
Avila;05053;18,359
Avila;05054;39,290
Avila;05055;12,218
Avila;05056;12,696
Avila;05057;137,764
Avila;05058;31,393
Avila;05059;14,171
Avila;05060;20,309
Avila;05061;11,256
Avila;05062;18,436
Avila;05063;4,842
Avila;05064;26,842
Avila;05065;31,919
Avila;05066;19,171
Avila;05067;15,451
Avila;05069;14,745
Avila;05070;11,476
Avila;05072;19,387
Avila;05073;43,042
Avila;05074;36,412
Avila;05075;24,640
Avila;05076;12,622
Avila;05077;9,811
Avila;05078;20,004
Avila;05079;20,466
Avila;05080;43,267
Avila;05081;18,191
Avila;05082;29,416
Avila;05083;17,185
Avila;05084;15,190
Avila;05085;15,460
Avila;05086;19,053
Avila;05087;10,631
Avila;05088;11,590
Avila;05089;37,384
Avila;05090;22,147
Avila;05092;19,374
Avila;05093;48,377
Avila;05094;21,530
Avila;05095;35,050
Avila;05096;12,501
Avila;05097;46,535
Avila;05099;47,320
Avila;05100;24,219
Avila;05101;52,480
Avila;05102;80,680
Avila;05103;17,223
Avila;05104;9,883
Avila;05105;52,916
Avila;05106;11,869
Avila;05107;18,610
Avila;05108;15,023
Avila;05109;24,447
Avila;05110;33,667
Avila;05112;19,546
Avila;05113;17,466
Avila;05114;106,815
Avila;05115;65,317
Avila;05116;19,072
Avila;05117;24,034
Avila;05118;17,586
Avila;05119;17,011
Avila;05120;6,393
Avila;05121;22,787
Avila;05122;18,068
Avila;05123;18,369
Avila;05124;22,887
Avila;05125;12,046
Avila;05126;10,287
Avila;05127;46,686
Avila;05128;30,680
Avila;05129;31,082
Avila;05130;15,229
Avila;05131;31,205
Avila;05132;49,911
Avila;05133;17,695
Avila;05134;14,920
Avila;05135;33,611
Avila;05136;13,275
Avila;05138;18,904
Avila;05139;16,158
Avila;05140;10,087
Avila;05141;6,018
Avila;05142;19,715
Avila;05143;19,943
Avila;05144;29,355
Avila;05145;17,405
Avila;05147;33,604
Avila;05148;10,372
Avila;05149;9,437
Avila;05151;29,503
Avila;05152;58,255
Avila;05153;29,382
Avila;05154;19,852
Avila;05155;35,290
Avila;05156;22,059
Avila;05157;49,882
Avila;05158;43,342
Avila;05159;90,778
Avila;05160;29,994
Avila;05161;49,930
Avila;05162;60,890
Avila;05163;73,745
Avila;05164;9,155
Avila;05165;78,809
Avila;05166;20,266
Avila;05167;39,986
Avila;05168;98,032
Avila;05169;20,020
Avila;05170;11,084
Avila;05171;7,895
Avila;05172;11,280
Avila;05173;43,028
Avila;05174;14,381
Avila;05175;18,484
Avila;05176;36,848
Avila;05177;23,230
Avila;05178;52,972
Avila;05179;21,000
Avila;05180;10,886
Avila;05181;16,144
Avila;05182;68,998
Avila;05183;14,076
Avila;05184;85,863
Avila;05185;23,517
Avila;05186;28,697
Avila;05187;55,237
Avila;05188;6,514
Avila;05189;3,402
Avila;05190;11,064
Avila;05191;11,289
Avila;05192;43,295
Avila;05193;40,663
Avila;05194;19,769
Avila;05195;65,518
Avila;05196;24,382
Avila;05197;7,548
Avila;05198;20,383
Avila;05199;16,498
Avila;05200;7,362
Avila;05201;74,633
Avila;05204;26,576
Avila;05205;35,310
Avila;05206;10,356
Avila;05207;36,995
Avila;05208;12,984
Avila;05209;38,081
Avila;05210;17,375
Avila;05211;60,463
Avila;05212;35,779
Avila;05213;30,520
Avila;05214;14,509
Avila;05215;50,486
Avila;05216;45,642
Avila;05217;6,837
Avila;05218;34,757
Avila;05219;18,610
Avila;05220;18,548
Avila;05221;29,619
Avila;05222;41,356
Avila;05224;11,133
Avila;05225;28,352
Avila;05226;22,402
Avila;05227;11,946
Avila;05228;42,683
Avila;05229;13,340
Avila;05230;8,414
Avila;05231;16,113
Avila;05232;7,277
Avila;05233;20,737
Avila;05234;13,693
Avila;05235;20,067
Avila;05236;68,397
Avila;05237;37,136
Avila;05238;52,002
Avila;05239;90,142
Avila;05240;42,983
Avila;05241;76,295
Avila;05242;27,245
Avila;05243;52,078
Avila;05244;9,226
Avila;05245;95,439
Avila;05246;20,780
Avila;05247;58,401
Avila;05249;11,693
Avila;05251;46,154
Avila;05252;21,754
Avila;05253;18,179
Avila;05254;20,439
Avila;05256;18,480
Avila;05257;39,344
Avila;05258;21,092
Avila;05259;17,562
Avila;05260;45,989
Avila;05261;6,880
Avila;05262;41,591
Avila;05263;56,020
Avila;05264;10,247
