Provincia;CMuni;CUSEC;area_km2
Avila;05001;0500101001;31,407
Avila;05002;0500201001;29,881
Avila;05002;0500201002;28,775
Avila;05005;0500501001;17,097
Avila;05007;0500701001;8,485
Avila;05008;0500801001;24,238
Avila;05010;0501001001;17,153
Avila;05012;0501201001;15,016
Avila;05013;0501301001;27,078
Avila;05014;0501402001;5,284
Avila;05014;0501402002;3,718
Avila;05014;0501403001;181,611
Avila;05015;0501501001;14,971
Avila;05016;0501601001;8,736
Avila;05016;0501602001;6,537
Avila;05016;0501602002;0,143
Avila;05016;0501602003;4,588
Avila;05016;0501602004;9,034
Avila;05016;0501602005;16,634
Avila;05017;0501701001;12,839
Avila;05018;0501801001;10,235
Avila;05019;0501901001;0,231
Avila;05019;0501901002;39,736
Avila;05019;0501902001;0,224
Avila;05019;0501902002;0,095
Avila;05019;0501903001;0,265
Avila;05019;0501903002;17,701
Avila;05019;0501904001;11,125
Avila;05019;0501904002;0,149
Avila;05019;0501904003;0,048
Avila;05019;0501904004;0,051
Avila;05019;0501904005;0,220
Avila;05019;0501904006;0,071
Avila;05019;0501904008;0,332
Avila;05019;0501904009;0,059
Avila;05019;0501904010;0,132
Avila;05019;0501904011;0,896
Avila;05019;0501904012;11,321
Avila;05019;0501904013;14,478
Avila;05019;0501904014;10,081
Avila;05019;0501905001;0,066
Avila;05019;0501905002;0,085
Avila;05019;0501905003;0,089
Avila;05019;0501905004;0,290
Avila;05019;0501905005;0,221
Avila;05019;0501905006;2,425
Avila;05019;0501906001;0,043
Avila;05019;0501906002;0,255
Avila;05019;0501906003;15,781
Avila;05019;0501906004;0,061
Avila;05019;0501906005;0,053
Avila;05019;0501906008;0,830
Avila;05019;0501906009;0,060
Avila;05019;0501906010;0,085
Avila;05019;0501906011;71,820
Avila;05019;0501906012;1,446
Avila;05019;0501906013;29,391
Avila;05019;0501906014;0,350
Avila;05021;0502101001;5,810
Avila;05021;0502101002;6,878
Avila;05022;0502201001;72,996
Avila;05022;0502201002;80,167
Avila;05023;0502301001;20,030
Avila;05024;0502401001;32,164
Avila;05025;0502501001;19,866
Avila;05026;0502601001;17,305
Avila;05027;0502701001;16,689
Avila;05029;0502901001;19,778
Avila;05030;0503001001;9,005
Avila;05033;0503301001;39,603
Avila;05034;0503401001;12,973
Avila;05035;0503501001;22,955
Avila;05036;0503601001;22,083
Avila;05037;0503701001;73,881
Avila;05038;0503801001;55,061
Avila;05039;0503901001;18,347
Avila;05040;0504001001;30,753
Avila;05041;0504101001;55,034
Avila;05042;0504201001;11,801
Avila;05043;0504301001;17,964
Avila;05044;0504401001;110,073
Avila;05045;0504501001;19,168
Avila;05046;0504601001;6,670
Avila;05047;0504701001;24,616
Avila;05047;0504703001;44,953
Avila;05047;0504703002;118,235
Avila;05047;0504703003;26,120
Avila;05048;0504801001;14,372
Avila;05049;0504901001;40,467
Avila;05051;0505101001;14,168
Avila;05052;0505201001;22,141
Avila;05053;0505301001;18,359
Avila;05054;0505401001;39,290
Avila;05055;0505501001;12,218
