CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;viviendas_pre2000;viviendas_reformadas_2000;pct_reformado_2000;Seccion_id
0500101001;260;232,915;1958;0,020;0,640;225;7;3,110;1
0500201001;2308;148,670;1987;0,010;0,550;1545;9;0,580;2
0500201002;2234;137,800;1985;0,010;0,590;1624;7;0,430;3
0500501001;158;251,241;1974;0,020;0,660;143;17;11,890;4
0500701001;159;191,321;1976;0,020;0,510;136;26;19,120;5
0500801001;152;265,704;1953;0,020;0,630;138;18;13,040;6
0501001001;288;169,167;1973;0,020;0,480;248;25;10,080;7
0501201001;201;160,881;1981;0,020;0,520;175;17;9,710;8
0501301001;1234;167,006;1980;0,010;0,630;968;49;5,060;9
0501401001;1584;131,687;1984;0,010;0,670;1228;28;2,280;3527
0501401002;635;135,698;1975;0,020;0,730;561;19;3,390;3528
0501402001;806;147,330;1974;0,020;0,690;604;21;3,480;10
0501402002;1889;142,255;1988;0,010;0,590;1134;19;1,680;11
0501403001;1788;165,937;1990;0,020;0,750;1150;37;3,220;12
0501501001;156;147,090;1979;0,020;0,620;110;10;9,090;13
0501601001;680;148,944;1974;0,020;0,750;518;115;22,200;14
0501602001;1329;139,600;1985;0,010;0,710;774;43;5,560;15
0501602002;600;110,047;1982;0,010;0,290;558;0;0,000;16
0501602003;885;127,145;1986;0,010;0,430;727;20;2,750;17
0501602004;616;147,167;1991;0,010;0,550;379;1;0,260;18
0501602005;816;187,477;1999;0,010;0,610;265;4;1,510;19
0501701001;115;244,487;1965;0,020;0,660;105;33;31,430;20
0501801001;111;142,333;1979;0,020;0,450;85;39;45,880;21
0501901001;945;131,870;1974;0,020;0,890;827;57;6,890;22
0501901002;991;149,018;1982;0,020;0,650;811;17;2,100;23
0501902001;1169;141,849;1986;0,010;0,670;944;27;2,860;24
0501902002;734;130,308;1973;0,000;0,330;725;1;0,140;25
0501903001;785;169,306;1982;0,010;0,490;732;8;1,090;26
0501903002;735;221,113;1992;0,010;0,390;434;12;2,760;27
0501904001;1027;125,734;1986;0,020;0,610;594;15;2,530;28
0501904002;929;119,102;1982;0,010;0,670;795;17;2,140;29
0501904003;592;106,926;1983;0,000;0,240;592;0;0,000;30
0501904004;650;94,963;1976;0,010;0,230;622;3;0,480;31
0501904005;671;93,060;1977;0,000;0,200;653;0;0,000;32
0501904006;861;103,113;1980;0,010;0,400;828;9;1,090;33
