Provincia;CMuni;CUSEC;Periodo;Distribución_de_la_renta_P80_P20;Índice_de_Gini
Avila;05001;0500101001;2021;2,4;28,5
Avila;05001;0500101001;2022;2,6;29,5
Avila;05001;0500101001;2023;2,3;28,2
Avila;05002;0500201001;2021;2,6;32,8
Avila;05002;0500201001;2022;2,4;30,9
Avila;05002;0500201001;2023;2,4;30,9
Avila;05002;0500201002;2021;2,8;35
Avila;05002;0500201002;2022;3;33,6
Avila;05002;0500201002;2023;3;33,3
Avila;05005;0500501001;2021;2,2;24,7
Avila;05005;0500501001;2022;2,2;29,9
Avila;05005;0500501001;2023;2,6;30
Avila;05007;0500701001;2021;2,1;24
Avila;05007;0500701001;2022;2,2;26,6
Avila;05007;0500701001;2023;2;22,9
Avila;05008;0500801001;2021;2,3;26
Avila;05008;0500801001;2022;2,2;27
Avila;05008;0500801001;2023;2,3;26,7
Avila;05010;0501001001;2021;2;25
Avila;05010;0501001001;2022;1,8;22,6
Avila;05010;0501001001;2023;1,8;22,1
Avila;05012;0501201001;2021;2,7;26,1
Avila;05012;0501201001;2022;2,6;24
Avila;05012;0501201001;2023;2;25,2
Avila;05013;0501301001;2021;2,3;28,9
Avila;05013;0501301001;2022;2,3;29,3
Avila;05013;0501301001;2023;2,3;28,3
Avila;05014;0501401001;2021;2,5;30,4
Avila;05014;0501401001;2022;2,7;30,4
Avila;05014;0501401001;2023;2,5;29,3
Avila;05014;0501401002;2021;2,1;25,8
Avila;05014;0501401002;2022;2,1;27,7
Avila;05014;0501402001;2021;2,6;29,8
Avila;05014;0501402001;2022;2,5;30,3
Avila;05014;0501402001;2023;2,5;29,9
Avila;05014;0501402002;2021;2,5;29,8
Avila;05014;0501402002;2022;2,7;30,2
Avila;05014;0501402002;2023;2,6;30,4
Avila;05014;0501403001;2021;2,5;29,5
Avila;05014;0501403001;2022;2,5;29,2
Avila;05014;0501403001;2023;2,4;29,6
Avila;05016;0501601001;2021;2,4;27,2
Avila;05016;0501601001;2022;2,3;29
Avila;05016;0501601001;2023;2,4;28,2
Avila;05016;0501602001;2021;2,4;28,2
Avila;05016;0501602001;2022;2,3;27,6
Avila;05016;0501602001;2023;2,3;27,6
Avila;05016;0501602002;2021;2,3;27,4
Avila;05016;0501602002;2022;2,3;26,6
Avila;05016;0501602002;2023;2,3;25,8
Avila;05016;0501602003;2021;2,3;27,9
Avila;05016;0501602003;2022;2,3;27,5
Avila;05016;0501602003;2023;2,2;26,8
Avila;05016;0501602004;2021;2,4;29,3
Avila;05016;0501602004;2022;2,4;30
Avila;05016;0501602004;2023;2,4;28,8
Avila;05016;0501602005;2021;2,7;31,8
Avila;05016;0501602005;2022;2,6;31,6
Avila;05016;0501602005;2023;2,7;30,9
Avila;05019;0501901001;2021;2,9;32,2
Avila;05019;0501901001;2022;2,8;32,3
Avila;05019;0501901001;2023;3;33,1
Avila;05019;0501901002;2021;2,6;30,5
Avila;05019;0501901002;2022;2,7;32,8
Avila;05019;0501901002;2023;2,8;31,3
Avila;05019;0501902001;2021;3;31,8
Avila;05019;0501902001;2022;2,9;30,8
Avila;05019;0501902001;2023;3;31,1
Avila;05019;0501902002;2021;2,7;29,9
Avila;05019;0501902002;2022;2,7;28,8
Avila;05019;0501902002;2023;2,9;31,3
Avila;05019;0501903001;2021;2,6;29,5
Avila;05019;0501903001;2022;2,5;29,2
Avila;05019;0501903001;2023;2,5;28,3
Avila;05019;0501903002;2021;2,4;27,4
Avila;05019;0501903002;2022;2,3;26,9
Avila;05019;0501903002;2023;2,3;27,2
Avila;05019;0501904001;2021;2,5;27,7
Avila;05019;0501904001;2022;2,4;28,3
Avila;05019;0501904001;2023;2,5;28,7
Avila;05019;0501904002;2021;2,9;30
Avila;05019;0501904002;2022;2,7;29,6
Avila;05019;0501904002;2023;2,7;29,6
Avila;05019;0501904003;2021;2,3;25,6
Avila;05019;0501904003;2022;2,3;25,9
Avila;05019;0501904003;2023;2,2;25
Avila;05019;0501904004;2021;2,3;27,6
Avila;05019;0501904004;2022;2,6;28,8
Avila;05019;0501904004;2023;2,4;27,9
Avila;05019;0501904005;2021;3,4;35
Avila;05019;0501904005;2022;3,5;35,2
Avila;05019;0501904005;2023;3,3;33,9
Avila;05019;0501904006;2021;2,5;30,6
Avila;05019;0501904006;2022;2,5;30,7
Avila;05019;0501904006;2023;2,6;29,5
Avila;05019;0501904008;2021;2,6;27,7
Avila;05019;0501904008;2022;2,4;27,7
Avila;05019;0501904008;2023;2,4;27,2
Avila;05019;0501904009;2021;2,5;27,6
Avila;05019;0501904009;2022;2,4;28,1
Avila;05019;0501904009;2023;2,4;28
Avila;05019;0501904010;2021;2,5;28,3
Avila;05019;0501904010;2022;2,4;29
Avila;05019;0501904010;2023;2,2;27,3
Avila;05019;0501904011;2021;2,5;29,1
Avila;05019;0501904011;2022;2,4;29,1
Avila;05019;0501904011;2023;2,2;27,5
Avila;05019;0501904012;2021;2,6;28,4
Avila;05019;0501904012;2022;2,5;27,8
Avila;05019;0501904012;2023;2,4;27,1
Avila;05019;0501904013;2021;2,4;26,6
Avila;05019;0501904013;2022;2,2;25,6
Avila;05019;0501904013;2023;2,2;25,6
Avila;05019;0501904014;2021;2,4;28,3
Avila;05019;0501904014;2022;2,4;27
Avila;05019;0501904014;2023;2,3;27,1
Avila;05019;0501905001;2021;2,4;29,1
Avila;05019;0501905001;2022;2,7;29,9
Avila;05019;0501905001;2023;2,6;30,3
Avila;05019;0501905002;2021;2,9;31,7
Avila;05019;0501905002;2022;3,1;32
Avila;05019;0501905002;2023;3;32,1
Avila;05019;0501905003;2021;3,6;33,4
Avila;05019;0501905003;2022;3,3;34,1
Avila;05019;0501905003;2023;3,1;32,7
Avila;05019;0501905004;2021;2,4;28,3
Avila;05019;0501905004;2022;2,3;27,8
Avila;05019;0501905004;2023;2,3;26,9
Avila;05019;0501905005;2021;2,2;25,6
