Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05001;0500101001;2021;3;15,8;25,2;2;54,1
Avila;05001;0500101001;2022;3,4;14,7;23,3;1,1;57,5
Avila;05001;0500101001;2023;3,7;13,4;24;1,5;57,5
Avila;05002;0500201001;2021;5,3;11,8;23,4;4,4;55,1
Avila;05002;0500201001;2022;5,6;12,4;24,4;3,4;54,3
Avila;05002;0500201001;2023;5,4;11,5;24,8;3,4;54,9
Avila;05002;0500201002;2021;5,3;12,3;23,1;3,9;55,4
Avila;05002;0500201002;2022;6;11,9;24,2;2,8;55,1
Avila;05002;0500201002;2023;5,3;11,8;23,6;2,8;56,6
Avila;05005;0500501001;2021;4;15,1;27,5;2,7;50,8
Avila;05005;0500501001;2022;3,8;22,3;25,2;1,7;47,1
Avila;05005;0500501001;2023;3,1;27,3;21,3;0,8;47,6
Avila;05007;0500701001;2021;8;26,5;34,1;0,6;30,8
Avila;05007;0500701001;2022;7,3;27,6;31,4;1,6;32,1
Avila;05007;0500701001;2023;9;23,9;31,8;2,2;33,1
Avila;05008;0500801001;2021;4,5;13,6;32,6;3,4;46
Avila;05008;0500801001;2022;4,4;10,6;37;1,6;46,5
Avila;05008;0500801001;2023;4,5;13,3;33,1;1,4;47,7
Avila;05010;0501001001;2021;6,9;15,1;31,5;2,3;44,3
Avila;05010;0501001001;2022;7,5;12,4;33,6;1,4;45,1
Avila;05010;0501001001;2023;8,5;14,4;31,3;2;43,7
Avila;05012;0501201001;2021;4,5;8,5;38,7;1,9;46,5
Avila;05012;0501201001;2022;6;10,2;35,3;1,5;47
Avila;05012;0501201001;2023;6;8;37,8;2,2;46
Avila;05013;0501301001;2021;4,7;11,8;38,9;3,3;41,4
Avila;05013;0501301001;2022;4,8;11,2;38;3;43,1
Avila;05013;0501301001;2023;4,6;10,8;38,2;2,6;43,8
Avila;05014;0501401001;2021;4,7;12,3;29,8;3,4;49,8
Avila;05014;0501401001;2022;4,7;12,4;29,2;2,4;51,3
Avila;05014;0501401001;2023;4,8;11,7;29,1;2,4;52
Avila;05014;0501401002;2021;5,2;9,8;34,9;5,6;44,6
Avila;05014;0501401002;2022;4,7;11,1;37,6;3,6;43
Avila;05014;0501402001;2021;6,2;14,3;35,2;3,8;40,6
Avila;05014;0501402001;2022;5,5;16,2;34,4;2,8;41,2
Avila;05014;0501402001;2023;6,1;13,1;34,7;2,6;43,5
Avila;05014;0501402002;2021;4,6;8,9;26,9;3,2;56,5
Avila;05014;0501402002;2022;4,2;9;27,3;2,2;57,5
