Provincia;CMuni;CUSEC;Periodo;Media_de_la_renta_por_unidad_de_consumo;Mediana_de_la_renta_por_unidad_de_consumo;Renta_bruta_media_por_hogar;Renta_bruta_media_por_persona;Renta_neta_media_por_hogar;Renta_neta_media_por_persona
Avila;05001;0500101001;2021;17335;15750;31676;14440;27314;12452
Avila;05001;0500101001;2022;18111;15050;34748;15444;29252;13001
Avila;05001;0500101001;2023;19722;16450;38290;16877;32088;14143
Avila;05002;0500201001;2021;14808;12950;26063;11874;22576;10285
Avila;05002;0500201001;2022;15658;13650;27106;12407;23135;10590
Avila;05002;0500201001;2023;15714;14350;28407;12753;24631;11058
Avila;05002;0500201002;2021;14780;12950;26855;12158;22804;10324
Avila;05002;0500201002;2022;15573;12950;28352;12584;24174;10729
Avila;05002;0500201002;2023;17226;14700;32659;14217;27738;12075
Avila;05005;0500501001;2021;16175;14350;24555;13609;21674;12012
Avila;05005;0500501001;2022;17457;15750;27715;15132;23604;12887
Avila;05005;0500501001;2023;20262;17150;32755;18745;27124;15523
Avila;05007;0500701001;2021;14150;12950;24193;10829;22381;10018
Avila;05007;0500701001;2022;16189;15050;27398;12893;25131;11827
Avila;05007;0500701001;2023;16076;16450;26291;12755;24231;11756
Avila;05008;0500801001;2021;15575;15050;28755;11396;25830;10237
Avila;05008;0500801001;2022;16025;14700;29981;11850;26846;10611
Avila;05008;0500801001;2023;17871;16100;34826;13756;30616;12093
Avila;05010;0501001001;2021;14099;12950;23084;11386;21112;10413
Avila;05010;0501001001;2022;15538;14350;24866;12183;22590;11068
Avila;05010;0501001001;2023;16700;16450;27162;13387;24700;12174
Avila;05012;0501201001;2021;14329;12250;24886;11414;22224;10193
Avila;05012;0501201001;2022;16508;15050;29766;12788;26228;11268
Avila;05012;0501201001;2023;16591;15050;31008;13461;27057;11746
Avila;05013;0501301001;2021;16056;15050;27216;12922;23970;11380
Avila;05013;0501301001;2022;16936;15750;28316;13739;24891;12077
Avila;05013;0501301001;2023;17619;16450;30551;14582;26695;12741
Avila;05014;0501401001;2021;14936;12950;27152;11948;23391;10293
Avila;05014;0501401001;2022;15758;14350;28512;12766;24386;10919
Avila;05014;0501401001;2023;16863;15050;30130;13792;26001;11902
Avila;05014;0501401002;2021;13122;12250;21752;10398;19621;9380
Avila;05014;0501401002;2022;14113;12950;23035;11539;20566;10302
Avila;05014;0501402001;2021;15159;13650;25223;12506;22304;11059
Avila;05014;0501402001;2022;16450;14350;27664;13497;24156;11785
Avila;05014;0501402001;2023;16303;15050;27707;13446;24486;11882
Avila;05014;0501402002;2021;16286;14350;30013;12832;25771;11019
Avila;05014;0501402002;2022;16780;15050;31036;13528;26405;11509
Avila;05014;0501402002;2023;17613;15750;32864;14451;27972;12300
