CP,lat,lon,CUSEC
01118,42.6512,-2.54985,0910901001
01211,42.6743,-2.722,0910901001
01427,42.84844999999999,-3.1588166666666666,0919201001
05001,40.6572,-4.6995,0501901001
05002,40.6572,-4.6995,0501901001
05003,40.6572,-4.6995,0501901001
05004,40.6572,-4.6995,0501901001
05005,40.6572,-4.6995,0501901001
05070,40.6572,-4.6995,0501901001
05071,40.6572,-4.6995,0501901001
05080,40.6572,-4.6995,0501901001
05100,40.4108,-4.7062,0516301002
05110,40.4766,-4.6436,0502201002
05111,40.4788,-4.6824,0521101001
05112,40.3983,-4.8182,0516901001
05113,40.4133,-4.7848,0504101001
05114,40.3983,-4.8182,0516901001
05115,40.35035,-4.902950000000001,0523301001
05120,40.46136,-4.81532,0516601001
05122,40.4206,-4.8913,0516901001
05123,40.40045,-4.952999999999999,0510101001
05130,40.545675,-4.916725,0523801001
05131,40.5239,-4.9867,0514801001
05132,40.40815,-5.054675,0521601001
05133,40.4305,-5.155,0521501001
05134,40.43816666666667,-5.039233333333333,0508101001
05140,40.68431666666667,-4.82,0504001001
05141,40.68788333333333,-4.9333833333333335,0506701001
05143,40.669250000000005,-5.0089500000000005,0525201001
05145,40.67594,-5.05038,0521301001
05146,40.80125,-5.0730375,0503301001
05147,40.7045,-5.11116,0508001001
05148,40.7156,-5.2096,0504401001
05149,40.7228,-4.996449999999999,0523701001
05150,40.663399999999996,-5.28285,0521801001
05151,40.65215,-5.3431750000000005,0590301001
05152,40.5844,-5.3604,0501501001
05153,40.554116666666665,-5.3552,0502501001
05154,40.55475714285715,-5.402128571428571,0526601001
05160,40.701350000000005,-4.744949999999999,0501901002
05162,40.7994,-4.7631,0502701001
05163,40.78425,-4.74175,0508701001
05164,40.8431,-4.7682,0519401001
05165,40.92225,-4.761125,0504501001
05166,40.88225,-4.7363,0521901001
05190,40.5531,-4.7734,0519501001
05191,40.571799999999996,-4.8314,0513001001
05192,40.635733333333334,-4.7852,0514101001
05193,40.7369,-4.489,0590201001
05194,40.69272,-4.60464,0501906013
05195,40.6702,-4.55985,0501906011
05196,40.6276,-4.6143,0524501001
05197,40.59733333333333,-4.7612,0501904001
05198,40.544325,-4.8530999999999995,0523901001
05200,41.0626,-4.7204,0501602001
05210,41.065,-5.0909,0509901001
05211,40.973749999999995,-4.9670000000000005,0504301001
05212,41.01768,-4.876099999999999,0500801001
05213,41.0062,-4.8599,0510901001
05214,40.924,-4.6405,0517701001
05215,41.090450000000004,-4.795975,0517801001
05216,41.0033,-4.77614,0515201001
05217,40.94972,-4.85398,0506401001
05220,41.07535,-5.00905,0511402001
05229,41.07235,-4.927525,0505601001
05230,40.6024,-4.3345,0516802001
05239,40.61033333333334,-4.2881,0518401001
05240,40.594,-4.4115,0516101001
05250,40.5008,-4.4236,0510201002
05260,40.457,-4.4644,0505702001
05267,40.5433,-4.5403,0520101001
05268,40.5427,-4.5804,0522201001
05270,40.4135,-4.501,0524101002
05278,40.411925000000004,-4.488025,0524101001
05279,40.39875,-4.481,0524101001
05280,40.7519,-4.6658,0512801001
05289,40.74163333333333,-4.598316666666666,0524301001
05290,40.88555,-4.6097,0503501001
05291,40.8092,-4.511266666666667,0511501001
05292,40.82235,-4.64205,0522901001
05294,40.60695,-4.51515,0509301001
05296,40.983575,-4.636299999999999,0507201001
05298,41.0213,-5.0422666666666665,0511701001
05299,41.1155,-4.9735,0503401001
05300,40.8712,-4.97,0506501001
05301,40.92825,-5.03125,0514201001
05309,40.870133333333335,-4.9454,0506201001
05310,40.9284,-4.9638,0507401001
05320,40.7419,-4.746,0504901001
05350,40.78925,-4.874700000000001,0522001001
05357,40.77541818181818,-4.910390909090909,0523001001
05358,40.853539999999995,-4.86074,0521001001
05369,40.8587,-5.0601,0514701001
05370,40.94965,-5.079750000000001,0507301001
05380,40.8775,-5.1097,0519801001
05400,40.217150000000004,-5.0723,0501403001
05410,40.2599,-5.0175,0513201001
05412,40.2751,-4.9822,0520701001
05413,40.269000000000005,-4.999,0522101001
05414,40.2942,-5.0094,0506601001
05415,40.2502,-5.1037,0510001001
05416,40.2662,-5.0859,0501301001
05417,40.2224,-5.14,0508901001
05418,40.164249999999996,-5.014200000000001,0501403001
05420,40.2912,-4.5838,0524002001
05427,40.2348,-4.61275,0507501001
05428,40.3247,-4.5726,0505501001
05429,40.3143,-4.52425,0515601001
05430,40.3021,-4.6372,0500201002
05440,40.318,-4.6992,0518702001
05450,40.2849,-4.765,0505401001
05460,40.2774,-4.8526,0508201001
05461,40.2962,-4.837,0512701001
05470,40.2427,-4.9118,0518201001
05480,40.1547,-5.2419,0504703001
05489,40.1705,-5.3393,0504703002
05490,40.205,-4.9355,0511001001
05491,40.1876,-4.995,0513201001
05492,40.1725,-5.166,0518901001
05500,40.4648,-5.3283,0518601001
05510,40.5084,-5.4048,0522501001
05514,40.513285714285715,-5.272257142857143,0515501001
05515,40.465199999999996,-5.3363499999999995,0518601001
05516,40.47201428571429,-5.406585714285714,0510301001
05520,40.62105714285714,-4.894714285714286,0519701001
05530,40.59466666666666,-4.902066666666666,0513801001
05540,40.592020000000005,-4.98748,0513501001
05560,40.56578571428572,-5.082542857142857,0519101001
05571,40.51011666666667,-5.19905,0525701001
05580,40.387071428571424,-5.433928571428572,0500701001
05591,40.5765,-5.18,0526001001
05592,40.42984,-5.35726,0522801001
05593,40.410866666666664,-5.396816666666666,0501001001
