CUSEC;dist_min_ceas_km;disp_ponderada_ceas;dist_min_especializada_km;disp_ponderada_especializada;dist_min_primaria_km;disp_ponderada_primaria;dist_min_infantil_y_primaria_km;disp_ponderada_infantil_y_primaria;dist_min_adultos_e_idiomas_km;disp_ponderada_adultos_e_idiomas;dist_min_secundaria_y_bachillerato_km;dist_min_educación_especial_km;disp_ponderada_educación_especial;dist_min_formación_profesional_km;disp_ponderada_formación_profesional;dist_min_inclusión_social_km;disp_ponderada_inclusión_social;dist_min_población_general_km;disp_ponderada_población_general;dist_min_toxicomanías_y_adicciones_km;disp_ponderada_toxicomanías_y_adicciones;dist_min_personas_con_discapacidad_km;disp_ponderada_personas_con_discapacidad;dist_min_familia_km;disp_ponderada_familia;dist_min_mujer_km;disp_ponderada_mujer;dist_min_infancia_y_juventud_km;disp_ponderada_infancia_y_juventud;dist_min_voluntariado_km;disp_ponderada_voluntariado;dist_min_personas_mayores_km;disp_ponderada_personas_mayores;Seccion_id
0500101001;5,689;0,5;27,566;0,1;12,416;1,4;5,689;2,4;15,854;0,3;12,416;34,061;0;27,948;0,1;26,457;0,1;30,427;0;30,427;0;31,279;0;31,279;0;9,429;0,3;30,427;0;31,279;0;16,638;0,2;1
0500201001;6,278;1,2;36,403;0;6,21;1,3;0;6;6,278;0,4;0;40,337;0;36,877;0;9,932;0,3;41,154;0;13,62;0,3;41,154;0;43,172;0;41,154;0;41,154;0;43,172;0;6,21;0,7;2
0500201002;0;2,1;34,804;0;4,415;2,5;4,415;5,4;8,49;0,4;4,415;33,99;0;33,99;0;8,919;1,1;34,794;0;7,589;0,3;34,794;0;36,816;0;34,794;0;34,794;0;36,816;0;4,415;1,1;3
0500501001;7,867;1;24,921;0,3;4,69;3,3;4,69;4,4;25,573;0,5;11,828;27,353;0,1;23,717;0,2;19,274;3,1;19,274;0,9;19,274;0,4;25,222;1;25,222;0,1;19,274;0,4;19,274;0,2;25,222;0,1;11,828;0,7;4
0500701001;7,358;0,9;29,082;0,1;7,358;1,6;7,401;2,7;7,358;0,4;7,358;66,221;0;28,538;0,1;9,205;1,2;67,397;0;63,813;0;9,205;1,5;68,175;0;9,205;0,3;66,463;0;67,834;0;22,064;0,2;5
0500801001;8,006;0,6;28,317;0,1;9,068;1,7;6,01;2,6;7,485;0,7;7,485;45,589;0;28,658;0,2;38,976;0;28,317;0,4;38,976;0;42,834;0;28,317;0,1;12,877;0,3;38,976;0;42,834;0;5,255;0,7;6
0501001001;8,04;0,8;31,381;0;8,04;1,5;6,069;2,1;11,395;0,3;8,04;62,556;0;30,851;0;12,98;1,2;63,209;0;61,125;0;12,98;1,5;64,544;0;12,98;0,3;62,709;0;64,078;0;25,374;0,3;7
0501201001;4,054;0,8;32,241;0;4,054;2,4;4,054;2,3;31,791;0;26,304;32,995;0;26,803;0,1;29,319;1,1;29,319;0,5;29,319;0,3;33,421;0;33,746;0;29,319;0,1;29,319;0,1;33,746;0;6,209;0,5;8
0501301001;7,61;1,2;5,715;0,3;5,715;2,4;0;3,9;5,715;0,3;7,61;53,008;0;7,61;0,3;39,246;0;53,8;0;37,198;0;39,246;0;55,227;0;39,246;0;53,8;0;55,227;0;8,578;0,7;9
0501402001;2,276;1,4;1,685;0,6;1,685;3,2;2,276;4,3;1,685;0,6;2,276;58,739;0;2,276;0,6;39,394;0;59,544;0;41,325;0;39,394;0;61,027;0;39,394;0;59,544;0;61,027;0;14,075;0,5;10
0501402002;1,897;1,4;0;1;0;4;1,897;4,1;0;1;1,897;57,552;0;1,897;0,6;40,86;0;58,363;0;39,755;0;40,86;0;59,874;0;40,86;0;58,363;0;59,874;0;14,079;0,5;11
0501403001;4,887;1,1;6,649;0,3;6,649;1,8;4,238;4;6,649;0,3;4,887;64,012;0;4,887;0,6;41,301;0;64,83;0;45,145;0;41,301;0;66,372;0;41,301;0;64,83;0;66,372;0;16,715;0,2;12
0501501001;13,235;0,6;40,525;0;13,235;1,4;9,579;2;27,419;0,2;13,235;46,752;0;40,115;0;26,445;0,6;48,707;0;45,227;0;29,056;0,5;48,81;0;29,056;0,1;46,583;0;47,916;0;23,916;0,1;13
0501601001;0;1,3;27,357;0,1;6,637;2,1;3,161;3,5;3,161;1,4;3,161;49,134;0;20,653;0,2;43,356;0;27,357;0,4;43,356;0;46,306;0;27,357;0,1;14,993;0,3;43,356;0;46,306;0;4,003;1;14
0501602001;3,609;1;28,637;0,1;5,579;1,8;2,912;3,5;2,912;1,3;2,912;46,461;0;24,083;0,2;40,399;0;28,637;0,4;40,399;0;43,649;0;28,637;0,1;12,47;0,3;40,399;0;43,649;0;1,26;1;15
0501602002;3,161;0,9;30,305;0;3,519;2,3;0;3,9;0;2,1;0;46,021;0;21,934;0,1;40,34;0;30,305;0;40,34;0;43,19;0;30,305;0;11,893;0,3;40,34;0;43,19;0;2,151;1;16
0501602003;4,003;1;29,854;0,1;4,34;2,2;2,151;3,4;2,151;1,3;2,151;45,466;0;23,945;0,1;39,513;0;29,854;0,4;39,513;0;42,649;0;29,854;0,1;11,394;0,3;39,513;0;42,649;0;0;1,4;17
0501602004;6,395;0,6;32,785;0;2,253;2,5;0;4,2;3,391;1,3;2,253;42,751;0;24,723;0,1;36,977;0;32,785;0;36,977;0;39,926;0;32,785;0;8,614;0,3;36,977;0;39,926;0;2,933;1;18
0501602005;6,637;0,6;33,799;0;0;3,3;0;3,9;3,519;1,3;0;42,809;0;23,089;0,1;37,368;0;33,799;0;37,368;0;39,973;0;33,799;0;8,845;0,3;37,368;0;39,973;0;4,34;1;19
0501701001;14,39;0,9;18,151;0,3;3,277;2,7;3,277;4,4;18,505;0,2;17,945;20,285;0,1;16,846;0,2;12,215;6,2;12,215;2;12,215;1;18,186;1;18,186;0,1;12,215;0,6;12,215;0,4;18,186;0,1;18,186;0,4;20
0501801001;10,011;0,7;31,448;0;10,011;1,4;8,727;2;11,094;0,3;10,011;66,036;0;31,992;0;12,921;0,9;63,711;0;60,286;0;12,921;1,5;67,398;0;12,921;0,3;63,711;0;67,398;0;21,973;0,3;21
0501901001;0;3,5;1,052;1,5;0,613;5,5;0,463;13,7;0,463;1,6;0,411;2,224;0,6;2,224;0,9;1,987;18;1,987;4,2;1,987;1,6;1,987;6;2,097;0,6;1,987;1,5;1,987;0,9;2,097;0,6;2,097;1,3;22
0501901002;4,889;1,8;6,986;0,9;6,334;3,3;0;8,2;6,338;0,6;5,862;8,163;0,3;5,572;0,6;0;19,5;0;6,3;0;3,3;6,53;3;6,53;0,3;0;1,7;0;1,3;6,53;0,3;6,53;0,7;23
0501902001;0,503;3,5;0,705;1,9;0,243;5,5;0,243;15,3;0,493;1,6;0,55;1,798;0,6;1,798;0,9;1,487;18;1,487;4,2;1,487;1,6;1,487;6;1,843;0,6;1,487;1,5;1,487;0,9;1,843;0,6;1,843;1,3;24
0501902002;0,985;3,1;0,468;2,3;0,468;7,1;0;15,8;0,95;2;0;1,427;0,6;1,427;0,9;0,95;22,8;0,95;5,8;0,95;2;0,95;9,6;1,647;0,6;0,95;1,9;0,95;1,3;1,647;0,6;1,647;1,3;25
0501903001;0,411;3;1,245;1,5;0,474;5,5;0,474;13,7;0,806;1,6;0;2,342;0,6;2,342;0,9;1,715;18;1,95;4,2;1,95;1,6;1,715;6;1,715;0,6;1,715;1,5;1,95;0,9;1,715;0,6;1,715;1,3;26
0501903002;0;2,5;3,58;1,5;4,331;3,8;0;10,7;4,891;0,9;4,086;6,02;0,3;6,02;0,6;3,257;17,7;4,889;4,5;4,889;2,1;3,257;3,3;3,257;0,6;3,257;1,6;4,889;0,9;3,257;0,6;3,257;1,3;27
0501904001;6,126;1,6;6,406;0,9;5,896;3;2,583;7,4;6,438;0,7;6,126;6,428;0,3;5,193;0,6;3,534;14,2;7,206;2,8;7,206;1,3;7,206;3;8,717;0,3;7,206;0,9;7,206;0,6;8,717;0,3;8,717;0,7;28
0501904002;0,367;3,9;0,665;1,9;0,726;5,5;0;14,5;0;1,6;0,665;1,851;0,6;1,851;0,9;1,765;18;1,765;4,2;1,765;1,6;1,765;6;2,329;0,6;1,765;1,5;1,765;0,9;2,329;0,6;2,329;1,3;29
0501904003;0,294;3,7;0,775;1,9;0,983;5,7;0,142;13,5;0,303;1,6;0,775;1,91;0,6;1,91;1,2;1,951;18;1,951;4,2;1,951;1,6;1,951;6;2,632;0,6;1,951;1,5;1,951;0,9;2,632;0,6;2,632;1,3;30
