servicio_id;distancia;Seccion_id
1215;26456,992;1
6269;9932,053;2
6269;8919,316;3
335;29858,780;3
1203;29858,780;3
2057;29858,780;3
2058;29858,780;3
3481;29858,780;3
7187;29858,780;3
7195;29858,780;3
7736;29858,780;3
52;19273,638;4
333;19273,638;4
1204;19273,638;4
2054;19273,638;4
3487;19273,638;4
3494;19273,638;4
4437;19273,638;4
4994;19273,638;4
5317;19273,638;4
5320;19273,638;4
7189;19273,638;4
23;26870,882;4
26;26870,882;4
329;26870,882;4
334;26870,882;4
339;26870,882;4
2055;26870,882;4
2338;26870,882;4
3480;26870,882;4
5005;26870,882;4
5322;26870,882;4
6218;26870,882;4
6224;26870,882;4
24;25222,346;4
764;25222,346;4
1200;25222,346;4
2056;25222,346;4
2909;25222,346;4
3498;25222,346;4
4993;25222,346;4
6220;25222,346;4
3514;9204,836;5
6248;9204,836;5
7396;9204,836;5
3235;28164,762;5
3870;28164,762;5
4826;28164,762;5
3514;12980,453;7
6248;12980,453;7
7396;12980,453;7
3235;27173,294;7
3870;27173,294;7
4826;27173,294;7
52;29319,252;8
333;29319,252;8
1204;29319,252;8
2054;29319,252;8
3487;29319,252;8
3494;29319,252;8
4437;29319,252;8
4994;29319,252;8
5317;29319,252;8
5320;29319,252;8
7189;29319,252;8
3514;29056,173;13
6248;29056,173;13
7396;29056,173;13
3235;26445,265;13
3870;26445,265;13
4826;26445,265;13
52;12215,044;20
333;12215,044;20
1204;12215,044;20
2054;12215,044;20
3487;12215,044;20
3494;12215,044;20
4437;12215,044;20
4994;12215,044;20
5317;12215,044;20
5320;12215,044;20
7189;12215,044;20
335;23261,090;20
1203;23261,090;20
2057;23261,090;20
2058;23261,090;20
3481;23261,090;20
7187;23261,090;20
7195;23261,090;20
7736;23261,090;20
23;19808,952;20
26;19808,952;20
329;19808,952;20
334;19808,952;20
339;19808,952;20
2055;19808,952;20
2338;19808,952;20
3480;19808,952;20
5005;19808,952;20
5322;19808,952;20
6218;19808,952;20
6224;19808,952;20
24;18186,379;20
764;18186,379;20
1200;18186,379;20
2056;18186,379;20
2909;18186,379;20
3498;18186,379;20
4993;18186,379;20
6220;18186,379;20
1215;24909,761;20
3514;12920,828;21
6248;12920,828;21
7396;12920,828;21
23;1986,508;22
26;1986,508;22
329;1986,508;22
334;1986,508;22
339;1986,508;22
2055;1986,508;22
2338;1986,508;22
3480;1986,508;22
5005;1986,508;22
5322;1986,508;22
6218;1986,508;22
6224;1986,508;22
24;2097,199;22
764;2097,199;22
1200;2097,199;22
2056;2097,199;22
2909;2097,199;22
3498;2097,199;22
4993;2097,199;22
6220;2097,199;22
52;5938,995;22
333;5938,995;22
1204;5938,995;22
2054;5938,995;22
3487;5938,995;22
3494;5938,995;22
4437;5938,995;22
4994;5938,995;22
5317;5938,995;22
5320;5938,995;22
7189;5938,995;22
335;5833,423;22
1203;5833,423;22
2057;5833,423;22
2058;5833,423;22
3481;5833,423;22
7187;5833,423;22
7195;5833,423;22
7736;5833,423;22
1215;13482,104;22
52;0,000;23
333;0,000;23
1204;0,000;23
2054;0,000;23
3487;0,000;23
3494;0,000;23
4437;0,000;23
4994;0,000;23
5317;0,000;23
5320;0,000;23
7189;0,000;23
335;11106,962;23
1203;11106,962;23
2057;11106,962;23
2058;11106,962;23
3481;11106,962;23
7187;11106,962;23
7195;11106,962;23
7736;11106,962;23
23;7797,767;23
26;7797,767;23
329;7797,767;23
334;7797,767;23
339;7797,767;23
2055;7797,767;23
2338;7797,767;23
3480;7797,767;23
5005;7797,767;23
5322;7797,767;23
6218;7797,767;23
6224;7797,767;23
24;6530,496;23
764;6530,496;23
1200;6530,496;23
2056;6530,496;23
2909;6530,496;23
3498;6530,496;23
4993;6530,496;23
6220;6530,496;23
1215;16532,738;23
23;1486,586;24
26;1486,586;24
329;1486,586;24
334;1486,586;24
339;1486,586;24
2055;1486,586;24
2338;1486,586;24
3480;1486,586;24
5005;1486,586;24
5322;1486,586;24
6218;1486,586;24
6224;1486,586;24
24;1842,899;24
764;1842,899;24
1200;1842,899;24
2056;1842,899;24
2909;1842,899;24
3498;1842,899;24
4993;1842,899;24
6220;1842,899;24
52;6381,455;24
333;6381,455;24
1204;6381,455;24
2054;6381,455;24
3487;6381,455;24
3494;6381,455;24
4437;6381,455;24
4994;6381,455;24
5317;6381,455;24
5320;6381,455;24
7189;6381,455;24
335;5666,906;24
1203;5666,906;24
2057;5666,906;24
2058;5666,906;24
3481;5666,906;24
7187;5666,906;24
7195;5666,906;24
7736;5666,906;24
1215;13099,346;24
23;949,947;25
26;949,947;25
329;949,947;25
334;949,947;25
339;949,947;25
2055;949,947;25
2338;949,947;25
3480;949,947;25
5005;949,947;25
5322;949,947;25
6218;949,947;25
6224;949,947;25
24;1647,070;25
764;1647,070;25
1200;1647,070;25
2056;1647,070;25
2909;1647,070;25
3498;1647,070;25
4993;1647,070;25
6220;1647,070;25
52;6859,436;25
