CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
0500101001;260;232,915;1958;0,02;0,64;3,11;1
0500201001;2308;148,67;1987;0,01;0,55;0,58;2
0500201002;2234;137,8;1985;0,01;0,59;0,43;3
0500501001;158;251,241;1974;0,02;0,66;11,89;4
0500701001;159;191,321;1976;0,02;0,51;19,12;5
0500801001;152;265,704;1953;0,02;0,63;13,04;6
0501001001;288;169,167;1973;0,02;0,48;10,08;7
0501201001;201;160,881;1981;0,02;0,52;9,71;8
0501301001;1234;167,006;1980;0,01;0,63;5,06;9
0501401001;1584;131,687;1984;0,01;0,67;2,28;3527
0501401002;635;135,698;1975;0,02;0,73;3,39;3528
0501402001;806;147,33;1974;0,02;0,69;3,48;10
0501402002;1889;142,255;1988;0,01;0,59;1,68;11
0501403001;1788;165,937;1990;0,02;0,75;3,22;12
0501501001;156;147,09;1979;0,02;0,62;9,09;13
0501601001;680;148,944;1974;0,02;0,75;22,2;14
0501602001;1329;139,6;1985;0,01;0,71;5,56;15
0501602002;600;110,047;1982;0,01;0,29;0;16
0501602003;885;127,145;1986;0,01;0,43;2,75;17
0501602004;616;147,167;1991;0,01;0,55;0,26;18
0501602005;816;187,477;1999;0,01;0,61;1,51;19
0501701001;115;244,487;1965;0,02;0,66;31,43;20
0501801001;111;142,333;1979;0,02;0,45;45,88;21
0501901001;945;131,87;1974;0,02;0,89;6,89;22
0501901002;991;149,018;1982;0,02;0,65;2,1;23
0501902001;1169;141,849;1986;0,01;0,67;2,86;24
0501902002;734;130,308;1973;0;0,33;0,14;25
0501903001;785;169,306;1982;0,01;0,49;1,09;26
0501903002;735;221,113;1992;0,01;0,39;2,76;27
0501904001;1027;125,734;1986;0,02;0,61;2,53;28
0501904002;929;119,102;1982;0,01;0,67;2,14;29
0501904003;592;106,926;1983;0;0,24;0;30
0501904004;650;94,963;1976;0,01;0,23;0,48;31
0501904005;671;93,06;1977;0;0,2;0;32
0501904006;861;103,113;1980;0,01;0,4;1,09;33
0501904008;1106;143,835;1996;0,01;0,38;0;34
0501904009;692;116,981;1988;0;0,19;0;35
0501904010;459;104,331;1992;0;0,24;0;36
