CUSEC;Periodo;DA;DH;DS;DD;IVST_pond;IVST_pond_grado;Seccion_id;cluster_k2
0500101001;2021;57,668;30,889;42,084;46,116;45,511;Medio-alto;1;1
0500101001;2022;57,656;31,200;38,800;42,812;43,578;Medio-bajo;1;1
0500101001;2023;57,659;31,200;35,693;41,369;42,213;Medio-bajo;1;0
0500201001;2021;56,865;65,463;48,357;40,954;50,829;Alto;2;1
0500201001;2022;56,866;65,463;46,757;40,975;50,356;Alto;2;1
0500201001;2023;56,866;65,463;45,528;40,791;49,932;Alto;2;1
0500201002;2021;52,292;65,457;48,637;40,627;49,671;Alto;3;1
0500201002;2022;52,291;65,457;45,373;39,745;48,427;Alto;3;1
0500201002;2023;52,292;65,457;42,727;39,536;47,571;Medio-alto;3;1
0500501001;2021;51,718;27,595;44,222;50,788;45,572;Medio-alto;4;1
0500501001;2022;51,716;27,595;39,973;50,764;44,289;Medio-alto;4;1
0500501001;2023;51,710;27,307;33,772;51,927;42,733;Medio-bajo;4;1
0500701001;2021;60,038;35,394;50,802;52,584;51,334;Alto;5;1
0500701001;2022;60,058;35,015;46,261;53,676;50,248;Alto;5;1
0500701001;2023;60,066;35,015;52,832;54,795;52,557;Alto;5;1
0500801001;2021;58,520;25,461;47,689;43,729;45,875;Medio-alto;6;1
0500801001;2022;58,520;25,461;43,975;43,829;44,790;Medio-alto;6;1
0500801001;2023;58,525;25,461;41,171;44,371;44,113;Medio-alto;6;1
0501001001;2021;61,176;40,166;48,837;52,600;51,750;Alto;7;1
0501001001;2022;61,174;40,166;48,733;52,038;51,550;Alto;7;1
0501001001;2023;61,176;40,166;47,628;52,218;51,273;Alto;7;1
0501201001;2021;54,273;41,955;48,490;51,204;49,770;Alto;8;1
0501201001;2022;54,259;42,405;47,110;48,618;48,644;Alto;8;1
0501201001;2023;54,254;42,405;47,405;47,764;48,475;Alto;8;1
0501301001;2021;50,242;51,745;50,049;48,478;49,880;Alto;9;1
0501301001;2022;50,242;51,312;46,591;48,833;48,885;Alto;9;1
0501301001;2023;50,241;51,745;44,256;46,411;47,522;Medio-alto;9;1
0501401001;2021;43,450;59,804;48,473;41,278;46,758;Medio-alto;3527;1
0501401001;2022;43,451;59,804;44,787;41,607;45,752;Medio-alto;3527;1
0501401001;2023;43,450;59,804;43,186;42,278;45,472;Medio-alto;3527;1
0501401002;2021;46,170;44,694;56,663;46,293;49,133;Alto;3528;1
0501401002;2022;46,165;44,160;52,290;47,525;48,110;Alto;3528;1
0501401002;2023;46,173;45,147;38,337;45,476;43,459;Medio-bajo;3528;1
0501402001;2021;44,989;44,367;51,118;47,540;47,499;Medio-alto;10;1
0501402001;2022;44,987;44,367;47,066;47,633;46,312;Medio-alto;10;1
0501402001;2023;44,985;44,367;46,295;47,526;46,047;Medio-alto;10;1
0501402002;2021;43,647;63,082;44,911;40,448;45,982;Medio-alto;11;1
0501402002;2022;43,648;63,082;41,670;40,514;45,029;Medio-alto;11;1
