CUSEC;Código postal;Entidad;Calle;Seccion_id
0500101001;05296;ADANERO;REAL;1
0500101001;05296;ADANERO;REAL;1
0500101001;05296;ADANERO;HUERTOS (LOS);1
0500101001;05296;ADANERO;HUERTOS (LOS);1
0500101001;05296;ADANERO;LIBERTAD;1
0500101001;05296;ADANERO;LIBERTAD;1
0500101001;05296;ADANERO;28 DE JUNIO DE 1942;1
0500101001;05296;ADANERO;28 DE JUNIO DE 1942;1
0500101001;05296;ADANERO;SAN JOSE;1
0500101001;05296;ADANERO;SAN JOSE;1
0500101001;05296;ADANERO;CHORRILLO (EL);1
0500101001;05296;ADANERO;CASTILLO (DEL);1
0500101001;05296;ADANERO;CASTILLO (DEL);1
0500101001;05296;ADANERO;MANUEL BASULTO;1
0500101001;05296;ADANERO;MANUEL BASULTO;1
0500101001;05296;ADANERO;CONDES DE ADANERO;1
0500101001;05296;ADANERO;RAMON Y CAJAL;1
0500101001;05296;ADANERO;RAMON Y CAJAL;1
0500101001;05296;ADANERO;COOPERATIVA NTRA. SRA. DE;1
0500101001;05296;ADANERO;COOPERATIVA NTRA. SRA. DE;1
0500101001;05296;ADANERO;ARBOLEDA;1
0500101001;05296;ADANERO;ARBOLEDA;1
0500101001;05296;ADANERO;CARCEL VIEJA;1
0500101001;05296;ADANERO;CARCEL VIEJA;1
0500101001;05296;ADANERO;ASUNCION;1
0500101001;05296;ADANERO;ASUNCION;1
0500101001;05296;ADANERO;ROLLO (EL);1
0500101001;05296;ADANERO;ROLLO (EL);1
0500101001;05296;ADANERO;MAYOR;1
0500101001;05296;ADANERO;MAYOR;1
0500101001;05296;ADANERO;BARRIO NUEVO;1
0500101001;05296;ADANERO;ESTANQUE (EL);1
0500101001;05296;ADANERO;CONSTITUCION (LA);1
0500101001;05296;ADANERO;CONSTITUCION (LA);1
0500101001;05296;ADANERO;CASTILLO;1
0500101001;05296;ADANERO;ESTACION (LA);1
0500101001;05296;ADANERO;MANUEL BASULTO;1
0500101001;05296;ADANERO;MANUEL BASULTO;1
0500101001;05296;ADANERO;PRADOS (LOS);1
0500101001;05296;ADANERO;PRADOS (LOS);1
0500101001;05296;ADANERO;CANTARRANAS;1
0500101001;05296;ADANERO;CANTARRANAS;1
0500101001;05296;ADANERO;AZOGUE;1
0500101001;05296;ADANERO;AZOGUE;1
0500101001;05296;ADANERO;ANGEL SAEZ TORRECILLA;1
0500101001;05296;ADANERO;ANGEL SAEZ TORRECILLA;1
0500101001;05296;ADANERO;ANGUSTIAS;1
0500101001;05296;ADANERO;AVENTOS;1
0500101001;05296;ADANERO;CAÑADA;1
0500101001;05296;ADANERO;GRANJA LA TORDERA;1
0500101001;05296;ADANERO;DE LA REDONDA;1
0500201001;05430;ADRADA (LA);MIRLO (EL);2
0500201001;05430;ADRADA (LA);MIRLO (EL);2
0500201001;05430;ADRADA (LA);MESONES (LOS);2
0500201001;05430;ADRADA (LA);MESONES (LOS);2
0500201001;05430;ADRADA (LA);PICOTA (LA);2
0500201001;05430;ADRADA (LA);PICOTA (LA);2
0500201001;05430;ADRADA (LA);PICOTA (LA);2
0500201001;05430;ADRADA (LA);BERRUECO;2
0500201001;05430;ADRADA (LA);MIRASIERRA;2
0500201001;05430;ADRADA (LA);MIRASIERRA;2
