Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
34001 Abarca de Campos;;;Fuente de ingreso: salario;2023;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2023;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2023;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2015;.
