Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
09001 Abajas;;;Fuente de ingreso: salario;2023;.
09001 Abajas;;;Fuente de ingreso: salario;2022;.
09001 Abajas;;;Fuente de ingreso: salario;2021;.
09001 Abajas;;;Fuente de ingreso: salario;2020;.
09001 Abajas;;;Fuente de ingreso: salario;2019;.
09001 Abajas;;;Fuente de ingreso: salario;2018;.
09001 Abajas;;;Fuente de ingreso: salario;2017;.
09001 Abajas;;;Fuente de ingreso: salario;2016;.
09001 Abajas;;;Fuente de ingreso: salario;2015;.
09001 Abajas;;;Fuente de ingreso: pensiones;2023;.
09001 Abajas;;;Fuente de ingreso: pensiones;2022;.
09001 Abajas;;;Fuente de ingreso: pensiones;2021;.
09001 Abajas;;;Fuente de ingreso: pensiones;2020;.
09001 Abajas;;;Fuente de ingreso: pensiones;2019;.
09001 Abajas;;;Fuente de ingreso: pensiones;2018;.
09001 Abajas;;;Fuente de ingreso: pensiones;2017;.
09001 Abajas;;;Fuente de ingreso: pensiones;2016;.
09001 Abajas;;;Fuente de ingreso: pensiones;2015;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2023;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2022;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2021;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2020;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2019;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2018;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2017;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2016;.
09001 Abajas;;;Fuente de ingreso: prestaciones por desempleo;2015;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2023;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2022;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2021;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2020;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2019;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2018;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2017;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2016;.
09001 Abajas;;;Fuente de ingreso: otras prestaciones;2015;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2023;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2022;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2021;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2020;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2019;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2018;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2017;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2016;.
09001 Abajas;;;Fuente de ingreso: otros ingresos;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2023;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2022;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2021;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2020;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: salario;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: pensiones;2023;.
